audit_requirement_id,decision_action_routing_id,action_id,action_name,audit_required,audit_event_type,required_actor_role,evidence_attachment_required,reason_required,timestamp_required,approval_reference_required,future_audit_status,governance_note
AUD-B138DA69,DAR-C32C913C,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F6474FA8,DAR-C32C913C,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A4951721,DAR-C32C913C,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-48944729,DAR-C32C913C,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-43E4C070,DAR-C32C913C,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-6252F2D9,DAR-C32C913C,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-38E796B5,DAR-C32C913C,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-A2991B01,DAR-6CB3BECC,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-AFE00517,DAR-6CB3BECC,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-6ACA1539,DAR-6CB3BECC,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-4D791AC6,DAR-6CB3BECC,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3E2594A7,DAR-6CB3BECC,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-E3B6775A,DAR-6CB3BECC,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-94456489,DAR-6CB3BECC,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A26246AC,DAR-6CB3BECC,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-7127E4F7,DAR-6CB3BECC,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D39BE679,DAR-6CB3BECC,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-118B8ED1,DAR-6CB3BECC,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-E6052415,DAR-6CB3BECC,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-1100F776,DAR-6CB3BECC,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-744CF041,DAR-6CB3BECC,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-EF989F7F,DAR-6CB3BECC,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F7757349,DAR-6CB3BECC,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-03A00458,DAR-6CB3BECC,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-AE0D43D6,DAR-6CB3BECC,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-5FB1BCF5,DAR-938033B8,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-30B7D7FB,DAR-938033B8,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-C332C432,DAR-938033B8,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3830A9B2,DAR-938033B8,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-E23CECBB,DAR-938033B8,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-ABF14BDB,DAR-938033B8,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3F04F519,DAR-938033B8,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-357A9967,DAR-938033B8,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A4E3B1E9,DAR-938033B8,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-C0B71C4D,DAR-938033B8,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A6F81F91,DAR-938033B8,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-35E8EF29,DAR-938033B8,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-DED55021,DAR-938033B8,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-B51FDB8E,DAR-938033B8,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-18123D32,DAR-938033B8,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-2710A16A,DAR-938033B8,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-E30AFF3C,DAR-938033B8,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-BFD574E1,DAR-938033B8,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-DB474EEF,DAR-8E501154,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D750A4AA,DAR-8E501154,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-5E146735,DAR-8E501154,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-74431CD5,DAR-8E501154,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-947D8B12,DAR-8E501154,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-32C1C99A,DAR-8E501154,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3615F871,DAR-8E501154,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-7240C77A,DAR-8E501154,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-DF9BAC46,DAR-8E501154,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A423F2C9,DAR-8E501154,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-AADA2527,DAR-8E501154,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-C75855AD,DAR-8E501154,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F76D1E38,DAR-8E501154,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-C5CF5AD9,DAR-8E501154,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-2F3F96BB,DAR-8E501154,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-8219FE4A,DAR-8E501154,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D6464972,DAR-8E501154,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-976A9E8F,DAR-8E501154,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-B1E9A140,DAR-5073CA0D,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-333FB36E,DAR-5073CA0D,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-9B49A169,DAR-5073CA0D,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-EAC10B18,DAR-5073CA0D,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-357D007C,DAR-5073CA0D,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-8CF16B0D,DAR-5073CA0D,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-852AA869,DAR-5073CA0D,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-C6B615D6,DAR-5073CA0D,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-CA9A51F6,DAR-5073CA0D,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-0717380B,DAR-5073CA0D,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-EFF66815,DAR-5073CA0D,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-C6019A1B,DAR-5073CA0D,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-FB66F7F5,DAR-5073CA0D,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-4569DFEF,DAR-5073CA0D,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D4EDB68B,DAR-5073CA0D,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-E849723A,DAR-5073CA0D,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-BBE93E17,DAR-5073CA0D,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-375EC137,DAR-5073CA0D,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-9153569D,DAR-EC066580,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-909FF8DB,DAR-EC066580,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-E8163CCC,DAR-EC066580,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-E9D87513,DAR-EC066580,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-04686764,DAR-EC066580,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-36BF479F,DAR-EC066580,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-C62A0C83,DAR-EC066580,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-081B9B41,DAR-EC066580,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-C437B57C,DAR-EC066580,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-5179F59C,DAR-EC066580,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-FB9296A8,DAR-EC066580,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-1563D056,DAR-EC066580,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-289FAEEF,DAR-EC066580,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-66ABD37A,DAR-EC066580,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-C00AB4BB,DAR-EC066580,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-6CE0B080,DAR-EC066580,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-CBF7B2B2,DAR-EC066580,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A4C447EB,DAR-EC066580,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-F4B41EC4,DAR-DAFE6C17,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F5ACFAA7,DAR-DAFE6C17,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3051E95F,DAR-DAFE6C17,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-91E49533,DAR-DAFE6C17,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-8B5CBC33,DAR-DAFE6C17,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-BB626CC9,DAR-DAFE6C17,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-C18949FD,DAR-DAFE6C17,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F747AFAC,DAR-DAFE6C17,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-ADC6F08E,DAR-DAFE6C17,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-0492C0CE,DAR-DAFE6C17,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F823C7A5,DAR-DAFE6C17,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-539DFF1A,DAR-DAFE6C17,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3780CABE,DAR-DAFE6C17,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-8037CB6B,DAR-DAFE6C17,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-57595ED1,DAR-DAFE6C17,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-09EB2A8C,DAR-DAFE6C17,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3DAB749A,DAR-DAFE6C17,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-9887F94A,DAR-DAFE6C17,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-291B5D83,DAR-9E5250FD,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-EF1B40E4,DAR-9E5250FD,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-437A751A,DAR-9E5250FD,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-AA72ED63,DAR-9E5250FD,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A6FDF92A,DAR-9E5250FD,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D4D2D658,DAR-9E5250FD,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-0DB1D5B9,DAR-9E5250FD,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-E9D32DDC,DAR-9E5250FD,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A0A58512,DAR-9E5250FD,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-9D8B5663,DAR-9E5250FD,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-601D415C,DAR-9E5250FD,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-64F8E824,DAR-9E5250FD,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-1FDAD2E1,DAR-9E5250FD,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-9D6C36B6,DAR-9E5250FD,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D8C324A2,DAR-9E5250FD,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-50C2FAAA,DAR-9E5250FD,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-0B8F4E22,DAR-9E5250FD,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3CED514B,DAR-9E5250FD,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-D48C87BE,DAR-03517CCE,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D0836025,DAR-03517CCE,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-91944038,DAR-03517CCE,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-EDAA934D,DAR-03517CCE,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-86D75FCC,DAR-03517CCE,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-42C88D77,DAR-03517CCE,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F18D9555,DAR-03517CCE,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-814658D6,DAR-03517CCE,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-9F9F4AA4,DAR-03517CCE,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-EA42B189,DAR-03517CCE,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3D14BC75,DAR-03517CCE,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-FEFC2ED5,DAR-03517CCE,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A7664946,DAR-03517CCE,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-11D9A135,DAR-03517CCE,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-23E9DF2E,DAR-03517CCE,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-9949EDC2,DAR-03517CCE,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-9AFE39C0,DAR-03517CCE,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-225A24D2,DAR-03517CCE,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-C8FFC5E4,DAR-DBA71FEC,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-89C566D3,DAR-DBA71FEC,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-2024F8D7,DAR-DBA71FEC,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-C5910F80,DAR-DBA71FEC,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-B6CEF9AC,DAR-DBA71FEC,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-E6BC4A13,DAR-DBA71FEC,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-5E7FA2EA,DAR-DBA71FEC,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-54E7D451,DAR-DBA71FEC,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A51BCBAF,DAR-DBA71FEC,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-56EDE83E,DAR-DBA71FEC,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-C3B1780A,DAR-DBA71FEC,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-354EDC1A,DAR-DBA71FEC,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-1937E81E,DAR-DBA71FEC,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3711EE63,DAR-DBA71FEC,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-59FB8D24,DAR-DBA71FEC,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-45F882AB,DAR-DBA71FEC,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-2BBBCA2D,DAR-DBA71FEC,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-382E6C06,DAR-DBA71FEC,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-E7667A07,DAR-C932E734,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-1068B404,DAR-C932E734,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-5523F4E1,DAR-C932E734,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-EBB0EC85,DAR-C932E734,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-2E886CC4,DAR-C932E734,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-66322AA7,DAR-C932E734,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
