integrated_decision_id,approval_package_id,lineage_available,lineage_stages,stage_count,raw_data_source,processed_data_source,kpi_source,trend_threshold_source,risk_source,recommendation_source,scenario_source,financial_source,integration_source,lineage_completeness_score
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → financial analysis → integrated decision record,7,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Not Applicable,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.67
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
