integrated_management_brief_id,decision_package_id,hospital_id,hospital_name,department_id,department_name,risk_tier,readiness_status,management_attention_level,urgency,primary_queue,scenario_summary_availability,financial_readiness,evidence_warning,action_queue_summary
IMB-AF228DCA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250614,HOSP-001,,DEPT-DIAG,Diagnostics,86.69,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-0380CAC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250707,HOSP-001,,DEPT-DIAG,Diagnostics,82.07,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-B035C641,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250107,HOSP-001,,DEPT-DIAG,Diagnostics,43.54,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-F89F9397,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250116,HOSP-001,,DEPT-DIAG,Diagnostics,45.78,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-28389C99,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250123,HOSP-001,,DEPT-DIAG,Diagnostics,49.59,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-61D60D2B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250130,HOSP-001,,DEPT-DIAG,Diagnostics,46.14,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-6E2ED4B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250207,HOSP-001,,DEPT-DIAG,Diagnostics,44.08,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-990451D6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250213,HOSP-001,,DEPT-DIAG,Diagnostics,42.58,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-DB3BEFA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250220,HOSP-001,,DEPT-DIAG,Diagnostics,55.66,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-4ADD3943,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250302,HOSP-001,,DEPT-DIAG,Diagnostics,55.37,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-56D41D3C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250317,HOSP-001,,DEPT-DIAG,Diagnostics,71.89,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-C92C3321,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250324,HOSP-001,,DEPT-DIAG,Diagnostics,52.01,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-DD5879BC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250410,HOSP-001,,DEPT-DIAG,Diagnostics,75.83,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-1839D7C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250420,HOSP-001,,DEPT-DIAG,Diagnostics,55.23,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-84A68261,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250506,HOSP-001,,DEPT-DIAG,Diagnostics,44.48,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-0C5E59E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250528,HOSP-001,,DEPT-DIAG,Diagnostics,51.11,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-7584F4A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250629,HOSP-001,,DEPT-DIAG,Diagnostics,69.86,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-03B0539E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250817,HOSP-001,,DEPT-DIAG,Diagnostics,43.41,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-4B5EC376,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250830,HOSP-001,,DEPT-DIAG,Diagnostics,52.48,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-FFA75233,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250904,HOSP-001,,DEPT-DIAG,Diagnostics,63.31,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-102138E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250911,HOSP-001,,DEPT-DIAG,Diagnostics,67.78,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-252CEAEA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250923,HOSP-001,,DEPT-DIAG,Diagnostics,49.1,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-E1ABD162,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251003,HOSP-001,,DEPT-DIAG,Diagnostics,54.55,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-06C1F371,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251009,HOSP-001,,DEPT-DIAG,Diagnostics,62.88,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-6936A8F2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251014,HOSP-001,,DEPT-DIAG,Diagnostics,63.39,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-BD1A5B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251026,HOSP-001,,DEPT-DIAG,Diagnostics,51.97,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-122AE627,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251102,HOSP-001,,DEPT-DIAG,Diagnostics,65.05,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-55345F31,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251119,HOSP-001,,DEPT-DIAG,Diagnostics,45.43,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-388383C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251125,HOSP-001,,DEPT-DIAG,Diagnostics,50.12,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-C8B3D708,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251205,HOSP-001,,DEPT-DIAG,Diagnostics,46.14,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-331BB463,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251209,HOSP-001,,DEPT-DIAG,Diagnostics,70.31,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-5DEF4700,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251219,HOSP-001,,DEPT-DIAG,Diagnostics,65.44,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-0EACA9A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250126,HOSP-001,,DEPT-DIAG,Diagnostics,58.84,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-B3860E94,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250218,HOSP-001,,DEPT-DIAG,Diagnostics,52.89,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-683A7401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250224,HOSP-001,,DEPT-DIAG,Diagnostics,59.55,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-737E3D66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250319,HOSP-001,,DEPT-DIAG,Diagnostics,85.73,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-322852D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250331,HOSP-001,,DEPT-DIAG,Diagnostics,76.05,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-EC1791C3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250416,HOSP-001,,DEPT-DIAG,Diagnostics,77.22,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-5343FE59,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250425,HOSP-001,,DEPT-DIAG,Diagnostics,55.8,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-D0035F78,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250504,HOSP-001,,DEPT-DIAG,Diagnostics,56.63,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-94467A66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250523,HOSP-001,,DEPT-DIAG,Diagnostics,52.21,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-5A4DE0AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250611,HOSP-001,,DEPT-DIAG,Diagnostics,93.66,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-A528E0F6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250702,HOSP-001,,DEPT-DIAG,Diagnostics,71.41,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250728,HOSP-001,,DEPT-DIAG,Diagnostics,58.0,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250813,HOSP-001,,DEPT-DIAG,Diagnostics,53.61,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250828,HOSP-001,,DEPT-DIAG,Diagnostics,55.79,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250902,HOSP-001,,DEPT-DIAG,Diagnostics,62.31,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250920,HOSP-001,,DEPT-DIAG,Diagnostics,56.7,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250925,HOSP-001,,DEPT-DIAG,Diagnostics,55.57,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20251007,HOSP-001,,DEPT-DIAG,Diagnostics,64.04,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20251025,HOSP-001,,DEPT-DIAG,Diagnostics,53.3,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20251114,HOSP-001,,DEPT-DIAG,Diagnostics,63.59,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20251206,HOSP-001,,DEPT-DIAG,Diagnostics,50.16,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250107,HOSP-001,,DEPT-ED,Emergency Department,80.68,Requires Stakeholder Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250201,HOSP-001,,DEPT-ED,Emergency Department,55.72,Requires Lineage Completion,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250211,HOSP-001,,DEPT-ED,Emergency Department,73.21,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250303,HOSP-001,,DEPT-ED,Emergency Department,64.37,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250319,HOSP-001,,DEPT-ED,Emergency Department,80.02,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250402,HOSP-001,,DEPT-ED,Emergency Department,61.03,Requires Assumption Validation,Conditional Review,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250502,HOSP-001,,DEPT-ED,Emergency Department,79.75,Requires Evidence Completion,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250509,HOSP-001,,DEPT-ED,Emergency Department,56.4,Requires Stakeholder Validation,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250522,HOSP-001,,DEPT-ED,Emergency Department,58.96,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250531,HOSP-001,,DEPT-ED,Emergency Department,61.5,Requires Evidence Completion,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250604,HOSP-001,,DEPT-ED,Emergency Department,89.41,Requires Stakeholder Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250624,HOSP-001,,DEPT-ED,Emergency Department,69.37,Requires Stakeholder Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-C78EF025,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250705,HOSP-001,,DEPT-ED,Emergency Department,69.53,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-C99E0A26,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250713,HOSP-001,,DEPT-ED,Emergency Department,83.21,Requires Stakeholder Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-C64D83FA,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250727,HOSP-001,,DEPT-ED,Emergency Department,59.31,Requires Assumption Validation,Conditional Review,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-F6C736A7,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250930,HOSP-001,,DEPT-ED,Emergency Department,66.68,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-8C653F7D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251008,HOSP-001,,DEPT-ED,Emergency Department,74.04,Requires Baseline Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-492E385E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251014,HOSP-001,,DEPT-ED,Emergency Department,74.69,Requires Evidence Completion,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-48FB8DCF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251101,HOSP-001,,DEPT-ED,Emergency Department,51.54,Requires Assumption Validation,Conditional Review,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-833250CD,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251113,HOSP-001,,DEPT-ED,Emergency Department,60.15,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-394E2514,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251227,HOSP-001,,DEPT-ED,Emergency Department,51.75,Ready with Conditions,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-9E7A3849,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250106,HOSP-001,,DEPT-ED,Emergency Department,49.33,Requires Evidence Completion,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-524F8372,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250207,HOSP-001,,DEPT-ED,Emergency Department,71.93,Requires Baseline Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-3B12D895,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250310,HOSP-001,,DEPT-ED,Emergency Department,66.09,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-6A05B58B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250421,HOSP-001,,DEPT-ED,Emergency Department,82.07,Requires Stakeholder Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-D89DB47B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250425,HOSP-001,,DEPT-ED,Emergency Department,84.65,Requires Baseline Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-B778AC03,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250521,HOSP-001,,DEPT-ED,Emergency Department,57.04,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-922A4E50,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250603,HOSP-001,,DEPT-ED,Emergency Department,83.17,Requires Budget Data,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-21A3EFE6,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250610,HOSP-001,,DEPT-ED,Emergency Department,82.71,Requires Financial Input,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-43213456,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250614,HOSP-001,,DEPT-ED,Emergency Department,74.92,Requires Lineage Completion,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-4FF86CE0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250626,HOSP-001,,DEPT-ED,Emergency Department,85.31,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-006DB262,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250707,HOSP-001,,DEPT-ED,Emergency Department,75.98,Requires Baseline Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-B549CE27,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250818,HOSP-001,,DEPT-ED,Emergency Department,52.26,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-156E2C74,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250923,HOSP-001,,DEPT-ED,Emergency Department,52.75,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-21AACEF1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251005,HOSP-001,,DEPT-ED,Emergency Department,58.59,Ready for Integrated Management Review,Standard Management Review,Prompt Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-F2E74DF4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251013,HOSP-001,,DEPT-ED,Emergency Department,48.34,Ready with Conditions,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-4085771E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251026,HOSP-001,,DEPT-ED,Emergency Department,81.28,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-C2E556F1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251102,HOSP-001,,DEPT-ED,Emergency Department,51.24,Ready for Integrated Management Review,Standard Management Review,Prompt Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-72F9988E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251109,HOSP-001,,DEPT-ED,Emergency Department,51.8,Ready for Integrated Management Review,Standard Management Review,Prompt Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-B8D4CC46,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251127,HOSP-001,,DEPT-ED,Emergency Department,67.22,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-4C56E237,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251212,HOSP-001,,DEPT-ED,Emergency Department,68.72,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-27A400BB,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251217,HOSP-001,,DEPT-ED,Emergency Department,52.37,Requires Stakeholder Validation,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-8A948793,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250404,HOSP-001,,DEPT-ED,Emergency Department,52.73,Non-Quantitative,Non-Quantitative Review,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-0AA72C33,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250413,HOSP-001,,DEPT-ED,Emergency Department,54.86,Non-Quantitative,Non-Quantitative Review,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-B9191393,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250427,HOSP-001,,DEPT-ED,Emergency Department,54.17,Non-Quantitative,Non-Quantitative Review,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-8B9D7152,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250503,HOSP-001,,DEPT-ED,Emergency Department,54.89,Non-Quantitative,Non-Quantitative Review,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-D77CD007,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250508,HOSP-001,,DEPT-ED,Emergency Department,49.6,Non-Quantitative,Non-Quantitative Review,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-3D431876,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250601,HOSP-001,,DEPT-ED,Emergency Department,62.29,Requires Additional Scenario Analysis,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-9B0F67A0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250606,HOSP-001,,DEPT-ED,Emergency Department,90.38,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-E9D2C951,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250716,HOSP-001,,DEPT-ED,Emergency Department,70.58,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-05DD713F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250209,HOSP-001,,DEPT-ED,Emergency Department,75.67,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-851E06E6,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250216,HOSP-001,,DEPT-ED,Emergency Department,68.17,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-A1D3C221,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250312,HOSP-001,,DEPT-ED,Emergency Department,67.07,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-6380C7FF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250510,HOSP-001,,DEPT-ED,Emergency Department,58.27,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-D57D2899,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250719,HOSP-001,,DEPT-ED,Emergency Department,49.14,Monitoring Only,Monitoring,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-47FDB072,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250913,HOSP-001,,DEPT-ED,Emergency Department,46.5,Monitoring Only,Monitoring,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-934083AF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250917,HOSP-001,,DEPT-ED,Emergency Department,49.54,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-7BE1D98F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20251116,HOSP-001,,DEPT-ED,Emergency Department,49.05,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-62A15DA2,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250128,HOSP-001,,DEPT-ED,Emergency Department,55.3,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-EA795E57,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250309,HOSP-001,,DEPT-ED,Emergency Department,53.39,Monitoring Only,Monitoring,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-5732FCD4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250318,HOSP-001,,DEPT-ED,Emergency Department,77.7,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
