integrated_management_brief_id,decision_package_id,scenario_readiness,baseline_summary,conservative_summary,expected_summary,higher_intensity_summary,comparator_completeness,comparator_consistency,scenario_validation_status,scenario_confidence
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,1.0,Baseline value: 70.0,Estimated impact: 20.0%,Estimated impact: 30.0%,Estimated impact: 30.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C78EF025,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C99E0A26,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C64D83FA,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F6C736A7,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,1.0,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-8C653F7D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-492E385E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-48FB8DCF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-833250CD,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,1.0,Baseline value: 73.33333333333333,Estimated impact: 13.333333333333345%,Estimated impact: 26.66666666666667%,Estimated impact: 26.66666666666667%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-394E2514,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9E7A3849,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-524F8372,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-3B12D895,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-6A05B58B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-D89DB47B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-B778AC03,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-922A4E50,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-21A3EFE6,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-43213456,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-4FF86CE0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-006DB262,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-B549CE27,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-156E2C74,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-21AACEF1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,1.0,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-F2E74DF4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-4085771E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C2E556F1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,1.0,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-72F9988E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,1.0,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-B8D4CC46,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,1.0,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-4C56E237,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-27A400BB,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-8A948793,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0AA72C33,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B9191393,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-8B9D7152,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D77CD007,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-3D431876,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9B0F67A0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-E9D2C951,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,1.0,Baseline value: 54.31849080383408,Estimated impact: 6.297852474323067%,Estimated impact: 12.07792207792209%,Estimated impact: 20.98809523809524%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-05DD713F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-851E06E6,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-A1D3C221,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-6380C7FF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D57D2899,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-47FDB072,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260913,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-934083AF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260917,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7BE1D98F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20261116,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-62A15DA2,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-EA795E57,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260309,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5732FCD4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260318,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-049A549E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260323,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B2C01513,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260330,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-FB443D62,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260412,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B88045DF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260702,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-391A1E0C,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260712,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0A3D30AD,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260731,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-DC2EA785,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260805,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-1A93F606,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260902,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-C7C5A607,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260909,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-93A20730,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260914,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E7E997C8,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260921,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-682B72A4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261004,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-624C0843,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261111,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-CAE02443,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261118,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5C84850A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261129,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-223DFD1D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261203,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-FE7FE422,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261210,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-111BA3D8,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261224,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B9B1A75B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260106,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-2A38C152,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260114,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C0A54E84,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260211,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C77876F2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260216,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-064EC872,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260323,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-2B756740,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260407,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-915EFB45,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260426,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-E3CC3205,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260505,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-E6B3E140,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260513,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-13E70BCB,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260528,1.0,Baseline value: 80.0,Estimated impact: 13.333333333333329%,Estimated impact: 20.0%,Estimated impact: 20.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-28073BC2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260612,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-3CE03C24,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260707,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-6CD7F2B2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260801,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-06A4015B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260830,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-0C9DCEF0,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260914,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-172B064A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260922,1.0,Baseline value: 72.72727272727273,Estimated impact: 18.181818181818173%,Estimated impact: 27.272727272727263%,Estimated impact: 27.272727272727263%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-4AF91FF0,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261105,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-2DCF54ED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261111,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-2D60FD7F,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261130,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C7AAAB07,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261227,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B4F65D89,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260109,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C1C3E1E2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260126,1.0,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-B74665AF,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260219,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-987EBA7F,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260227,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-7E733E9D,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260305,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-995A3411,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260315,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-89A7473C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260406,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-CC3BFB9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260422,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-B1693314,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260429,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-701A2435,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260522,1.0,Baseline value: 19.032051282051285,Estimated impact: -9.99999999999999%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-9631D9EC,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260530,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-E01D65F0,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260615,1.0,Baseline value: 18.465909090909093,Estimated impact: -10.000000000000004%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-3743E5BD,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260630,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-D59EBD35,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260718,1.0,Baseline value: 33.33333333333333,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-2A56AE2A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260818,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-4648B0C8,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260911,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-3DD82F95,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261014,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9231081D,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261019,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-265FF0DE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261026,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-7DBAF719,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261118,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-97C8FD7E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261129,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-6BC23402,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261207,1.0,Baseline value: 16.666666666666668,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-91BBAFF3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261213,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-386CA8B2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261217,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-8CEEF171,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261231,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-46AD96A2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260107,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-4340320B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260121,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-2161486E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260128,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-31EBC1B3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260202,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5F9F2590,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260208,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-53CD2B12,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260218,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-2E28683C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260307,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-9FD9FF1F,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260322,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-03ABD945,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260326,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F26D3264,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260415,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-16DD7396,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-30D8BDE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-FC03311E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-A202A375,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-689F2A9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B2DADD32,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-FDA5EAA6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-76B0AC15,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-8C2A6FF4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-30FE98EE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-54E64CED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-EF4CFEBE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-CB25262E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-782CDB40,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E43CF019,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-690EC515,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B557EAE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-10CFE702,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E161DFF5,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5DFA847A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0000B910,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-64443CF8,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261219,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-AC7E115B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261224,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F54C3B47,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260215,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D4B06227,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260403,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D92EC905,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260411,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-A952A277,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260509,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-83619D53,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260515,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-1D9BD3AB,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260603,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-48408839,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260619,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-AC6D1811,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260623,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-3E3AEB31,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260628,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-A587DDF7,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260716,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-61C547DB,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260725,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-CDACA704,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260730,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-62900A29,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260809,0.0,,,,,,Inconsistent or Not Assessed,,
