display_level_record_id,decision_package_id,approval_package_id,operational_risk_display,evidence_strength_display,lineage_strength_display,recommendation_readiness_display,scenario_readiness_display,financial_readiness_display,uncertainty_display,governance_burden_display,management_readiness_display,overall_display_level,display_level_formula
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702-DL,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728-DL,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813-DL,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828-DL,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902-DL,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920-DL,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925-DL,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007-DL,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025-DL,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114-DL,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206-DL,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Not Assessable,Blocking,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Not Assessable,Blocking,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Not Assessable,Blocking,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Not Assessable,Not Assessable,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Not Assessable,Not Assessable,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Not Assessable,Not Assessable,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Not Assessable,Not Assessable,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Not Assessable,Not Assessable,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260913-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260913,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260913,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260917-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260917,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260917,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20261116-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20261116,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20261116,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260309-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260309,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260309,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260318-DL,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260318,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260318,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Limited,Limited,Transparent mapping from governed status to display band. Not a hidden score.
