integrated_management_brief_id,decision_package_id,hospital_name,department_name,dominant_kpi_name,risk_tier,urgency,management_attention_level,final_readiness_status,primary_permitted_action,main_blocking_condition,top_management_questions,central_financial_estimate,financial_confidence,evidence_completeness_status,lineage_completeness_status,approval_status
IMB-28389C99,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-61D60D2B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-6E2ED4B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-990451D6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-DB3BEFA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-4ADD3943,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-56D41D3C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-C92C3321,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-DD5879BC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-1839D7C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-84A68261,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-0C5E59E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-7584F4A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-03B0539E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-4B5EC376,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-FFA75233,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-102138E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-252CEAEA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-E1ABD162,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-06C1F371,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-6936A8F2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-BD1A5B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-122AE627,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-55345F31,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-388383C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-C8B3D708,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-331BB463,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-5DEF4700,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,,Diagnostics,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-0EACA9A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-B3860E94,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-683A7401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-737E3D66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-322852D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-EC1791C3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-5343FE59,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-D0035F78,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-94467A66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-5A4DE0AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-A528E0F6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,,Diagnostics,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,,Emergency Department,Staffing Level,,,Conditional Review,Requires Stakeholder Validation,Request Stakeholder Review,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,,Emergency Department,Staffing Level,,,Conditional Review,Requires Lineage Completion,Request Lineage Completion,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,,Emergency Department,Staffing Level,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,,Emergency Department,Staffing Level,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,,Emergency Department,Staffing Level,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,,Emergency Department,Staffing Level,,,Conditional Review,Requires Assumption Validation,Validate Assumptions,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,,Emergency Department,Staffing Level,,,Conditional Review,Requires Evidence Completion,Request Evidence Completion,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,,Emergency Department,Staffing Level,,,Conditional Review,Requires Stakeholder Validation,Request Stakeholder Review,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,,Emergency Department,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,,Emergency Department,Staffing Level,,,Conditional Review,Requires Evidence Completion,Request Evidence Completion,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,,Emergency Department,Staffing Level,,,Conditional Review,Requires Stakeholder Validation,Request Stakeholder Review,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,,Emergency Department,Staffing Level,,,Conditional Review,Requires Stakeholder Validation,Request Stakeholder Review,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-C78EF025,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,,Emergency Department,Staffing Level,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-C99E0A26,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,,Emergency Department,Staffing Level,,,Conditional Review,Requires Stakeholder Validation,Request Stakeholder Review,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-C64D83FA,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,,Emergency Department,Staffing Level,,,Conditional Review,Requires Assumption Validation,Validate Assumptions,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-F6C736A7,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,,Emergency Department,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-8C653F7D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,,Emergency Department,Staffing Level,,,Conditional Review,Requires Baseline Validation,Validate Baseline,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-492E385E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,,Emergency Department,Staffing Level,,,Conditional Review,Requires Evidence Completion,Request Evidence Completion,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-48FB8DCF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,,Emergency Department,Staffing Level,,,Conditional Review,Requires Assumption Validation,Validate Assumptions,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-833250CD,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,,Emergency Department,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-394E2514,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,,Emergency Department,Staffing Level,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-9E7A3849,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Requires Evidence Completion,Request Evidence Completion,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-524F8372,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Requires Baseline Validation,Validate Baseline,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-3B12D895,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-6A05B58B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Requires Stakeholder Validation,Request Stakeholder Review,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-D89DB47B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Requires Baseline Validation,Validate Baseline,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-B778AC03,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-922A4E50,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Requires Budget Data,Provide Budget Information,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-21A3EFE6,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Requires Financial Input,Validate Financial Inputs,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-43213456,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Requires Lineage Completion,Request Lineage Completion,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-4FF86CE0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-006DB262,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Requires Baseline Validation,Validate Baseline,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-B549CE27,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-156E2C74,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-21AACEF1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,,Emergency Department,Staff Absenteeism Rate,,,Standard Management Review,Ready for Integrated Management Review,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-F2E74DF4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-4085771E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-C2E556F1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,,Emergency Department,Staff Absenteeism Rate,,,Standard Management Review,Ready for Integrated Management Review,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-72F9988E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,,Emergency Department,Staff Absenteeism Rate,,,Standard Management Review,Ready for Integrated Management Review,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-B8D4CC46,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,,Emergency Department,Staff Absenteeism Rate,,,Standard Management Review,Ready for Integrated Management Review,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-4C56E237,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-27A400BB,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217,,Emergency Department,Staff Absenteeism Rate,,,Conditional Review,Requires Stakeholder Validation,Request Stakeholder Review,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-8A948793,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,,Emergency Department,Average Patient Waiting Time,,,Non-Quantitative Review,Non-Quantitative,Route to Non-Quantitative Review,None,,,,Complete,Complete,Pending Management Review
IMB-0AA72C33,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,,Emergency Department,Average Patient Waiting Time,,,Non-Quantitative Review,Non-Quantitative,Route to Non-Quantitative Review,None,,,,Complete,Complete,Pending Management Review
IMB-B9191393,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,,Emergency Department,Average Patient Waiting Time,,,Non-Quantitative Review,Non-Quantitative,Route to Non-Quantitative Review,None,,,,Complete,Complete,Pending Management Review
IMB-8B9D7152,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,,Emergency Department,Average Patient Waiting Time,,,Non-Quantitative Review,Non-Quantitative,Route to Non-Quantitative Review,None,,,,Complete,Complete,Pending Management Review
IMB-D77CD007,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,,Emergency Department,Average Patient Waiting Time,,,Non-Quantitative Review,Non-Quantitative,Route to Non-Quantitative Review,None,,,,Complete,Complete,Pending Management Review
IMB-3D431876,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601,,Emergency Department,Average Patient Waiting Time,,,Conditional Review,Requires Additional Scenario Analysis,Request Additional Scenario,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-9B0F67A0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606,,Emergency Department,Average Patient Waiting Time,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-E9D2C951,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,,Emergency Department,Average Patient Waiting Time,,,Standard Management Review,Ready for Integrated Management Review,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-05DD713F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,,Emergency Department,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-851E06E6,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,,Emergency Department,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-A1D3C221,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,,Emergency Department,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-6380C7FF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,,Emergency Department,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-D57D2899,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,,Emergency Department,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-47FDB072,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260913,,Emergency Department,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-934083AF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260917,,Emergency Department,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-7BE1D98F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20261116,,Emergency Department,Patient Complaint Rate,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-62A15DA2,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,,Emergency Department,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-EA795E57,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260309,,Emergency Department,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-5732FCD4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260318,,Emergency Department,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-049A549E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260323,,Emergency Department,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-B2C01513,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260330,,Emergency Department,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-FB443D62,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260412,,Emergency Department,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-B88045DF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260702,,Emergency Department,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-391A1E0C,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260712,,Emergency Department,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-0A3D30AD,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260731,,Emergency Department,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-DC2EA785,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260805,,Emergency Department,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
IMB-1A93F606,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260902,,Emergency Department,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Continue Monitoring,None,,,,Complete,Complete,Pending Management Review
