integrated_management_brief_id,decision_package_id,approval_package_id,final_readiness_status,scenario_required_status,scenario_readiness,scenario_family,baseline_availability,conservative_availability,expected_availability,higher_intensity_availability,scenario_summary_availability,source_scenario_package_id,source_file,reason_summary_is_missing,classification
IMB-85A3369E,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261030,PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261030,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-64A6A46F,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261226,PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261226,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 17.613636363636363,Estimated impact: -10.000000000000002%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-DD372116,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260509,PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260509,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 48.41558441558441,Estimated impact: 6.297852474323065%,Estimated impact: 12.077922077922084%,Estimated impact: 20.988095238095244%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-B20F8E28,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260602,PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260602,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 55.48675934738411,Estimated impact: 6.297852474323061%,Estimated impact: 12.077922077922084%,Estimated impact: 20.98809523809525%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-DE6809A8,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260629,PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260629,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 55.3536873800953,Estimated impact: 6.29785247432306%,Estimated impact: 12.077922077922084%,Estimated impact: 20.98809523809524%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-C214655F,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260716,PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260716,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 54.93961578400831,Estimated impact: 6.297852474323057%,Estimated impact: 12.07792207792209%,Estimated impact: 20.98809523809523%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-8131CC19,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260721,PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260721,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 55.4471983614125,Estimated impact: 6.297852474323065%,Estimated impact: 12.077922077922086%,Estimated impact: 20.98809523809524%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-7C1CF550,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260421,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260421,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 76.92307692307693,Estimated impact: 15.384615384615373%,Estimated impact: 23.076923076923062%,Estimated impact: 23.076923076923062%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-6725EF95,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260521,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260521,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 75.0,Estimated impact: 16.666666666666657%,Estimated impact: 25.0%,Estimated impact: 25.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-D057EAE6,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260710,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260710,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 82.84860972360973,Estimated impact: 16.161291266489286%,Estimated impact: 17.151390276390273%,Estimated impact: 17.151390276390273%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-B43D0E86,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260915,PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260915,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 72.72727272727273,Estimated impact: 18.181818181818173%,Estimated impact: 27.272727272727263%,Estimated impact: 27.272727272727263%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-BCEAEA0F,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260209,PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260209,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-2260F12B,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260302,PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260302,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 20.555555555555557,Estimated impact: -9.999999999999991%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-F823ED18,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260406,PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260406,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-B153EAEC,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260519,PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260519,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-7A5A568B,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260613,PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260613,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 16.102564102564102,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-2EC732D3,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260728,PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260728,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 20.94017094017094,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-1C93F6E5,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260305,PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260305,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 70.0,Estimated impact: 20.0%,Estimated impact: 30.0%,Estimated impact: 30.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-E83A65A3,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260214,PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260214,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 18.181818181818183,Estimated impact: -9.999999999999991%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-8122725A,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260304,PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260304,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-25673786,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260509,PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260509,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 16.536796536796537,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-5F092CDC,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260908,PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260908,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 30.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-300F2670,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20261004,PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20261004,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 15.09920634920635,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-817F1E61,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20261018,PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20261018,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 17.994505494505493,Estimated impact: -9.99999999999999%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-99CB09FD,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20261030,PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20261030,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 24.722222222222214,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
