decision_package_id,risk_tier,urgency,dominant_kpi_id,dominant_kpi_name,dominant_breach,contributing_factors,contradiction_warning,operational_escalation,management_attention,affected_department,reporting_date,primary_queue,monitoring_trigger
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250624,69.37,Immediate Review,kpi_001,Staffing Level,Department Emergency Department on 2025-06-24 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_005; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250705,69.53,Immediate Review,kpi_001,Staffing Level,Department Emergency Department on 2025-07-05 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250713,83.21,Immediate Review,kpi_001,Staffing Level,Department Emergency Department on 2025-07-13 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_004; kpi_005; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250727,59.31,Prompt Review,kpi_001,Staffing Level,Department Emergency Department on 2025-07-27 assessed as High priority with Prompt Review urgency. The dominant risk driver is Staffing Level: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_005.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250930,66.68,Immediate Review,kpi_001,Staffing Level,Department Emergency Department on 2025-09-30 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251008,74.04,Immediate Review,kpi_001,Staffing Level,Department Emergency Department on 2025-10-08 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251014,74.69,Immediate Review,kpi_001,Staffing Level,Department Emergency Department on 2025-10-14 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251101,51.54,Prompt Review,kpi_001,Staffing Level,Department Emergency Department on 2025-11-01 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staffing Level: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251113,60.15,Immediate Review,kpi_001,Staffing Level,Department Emergency Department on 2025-11-13 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_004.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251227,51.75,Prompt Review,kpi_001,Staffing Level,Department Emergency Department on 2025-12-27 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staffing Level: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250106,49.33,Prompt Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-01-06 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250207,71.93,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-02-07 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250310,66.09,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-03-10 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250421,82.07,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-04-21 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250425,84.65,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-04-25 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_002; kpi_004; kpi_005.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250521,57.04,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-05-21 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250603,83.17,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-06-03 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250610,82.71,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-06-10 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250614,74.92,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-06-14 assessed as High priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_005.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250626,85.31,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-06-26 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_004.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250707,75.98,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-07-07 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_005; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250818,52.26,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-08-18 assessed as Elevated priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20250923,52.75,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-09-23 assessed as Elevated priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_004; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251005,58.59,Prompt Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-10-05 assessed as High priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251013,48.34,Prompt Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-10-13 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251026,81.28,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-10-26 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251102,51.24,Prompt Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-11-02 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251109,51.8,Prompt Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-11-09 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_002; kpi_004; kpi_005.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251127,67.22,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-11-27 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_005; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251212,68.72,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-12-12 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20251217,52.37,Prompt Review,kpi_002,Staff Absenteeism Rate,Department Emergency Department on 2025-12-17 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250404,52.73,Prompt Review,kpi_004,Average Patient Waiting Time,Department Emergency Department on 2025-04-04 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Average Patient Waiting Time: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004.,Staff Absenteeism Rate may be associated with Average Patient Waiting Time,No Contradiction,No Escalation,Non-Quantitative Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250413,54.86,Prompt Review,kpi_004,Average Patient Waiting Time,Department Emergency Department on 2025-04-13 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Average Patient Waiting Time: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_002; kpi_004; kpi_005; kpi_006.,Staff Absenteeism Rate may be associated with Average Patient Waiting Time,No Contradiction,No Escalation,Non-Quantitative Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250427,54.17,Prompt Review,kpi_004,Average Patient Waiting Time,Department Emergency Department on 2025-04-27 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Average Patient Waiting Time: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_002; kpi_004; kpi_005; kpi_006.,Staff Absenteeism Rate may be associated with Average Patient Waiting Time,No Contradiction,No Escalation,Non-Quantitative Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250503,54.89,Prompt Review,kpi_004,Average Patient Waiting Time,Department Emergency Department on 2025-05-03 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Average Patient Waiting Time: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_005; kpi_006.,Staff Absenteeism Rate may be associated with Average Patient Waiting Time,No Contradiction,No Escalation,Non-Quantitative Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250508,49.6,Prompt Review,kpi_004,Average Patient Waiting Time,Department Emergency Department on 2025-05-08 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Average Patient Waiting Time: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_006.,Staff Absenteeism Rate may be associated with Average Patient Waiting Time,No Contradiction,No Escalation,Non-Quantitative Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250601,62.29,Immediate Review,kpi_004,Average Patient Waiting Time,Department Emergency Department on 2025-06-01 assessed as High priority with Immediate Review urgency. The dominant risk driver is Average Patient Waiting Time: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_004.,Staff Absenteeism Rate may be associated with Average Patient Waiting Time,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250606,90.38,Immediate Review,kpi_004,Average Patient Waiting Time,Department Emergency Department on 2025-06-06 assessed as High priority with Prompt Review urgency. The dominant risk driver is Average Patient Waiting Time: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_005; kpi_006.,Staff Absenteeism Rate may be associated with Average Patient Waiting Time,No Contradiction,No Escalation,Conditional Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20250716,70.58,Immediate Review,kpi_004,Average Patient Waiting Time,Department Emergency Department on 2025-07-16 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Average Patient Waiting Time: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_004.,Staff Absenteeism Rate may be associated with Average Patient Waiting Time,No Contradiction,No Escalation,Standard Management Review,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250209,75.67,Immediate Review,kpi_005,Patient Complaint Rate,Department Emergency Department on 2025-02-09 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Patient Complaint Rate: threshold=Red; breach=Provisional Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_005.,Average Patient Waiting Time may be associated with Patient Complaint Rate,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250216,68.17,Immediate Review,kpi_005,Patient Complaint Rate,Department Emergency Department on 2025-02-16 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Complaint Rate: threshold=Red; breach=Provisional Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_005.,Average Patient Waiting Time may be associated with Patient Complaint Rate,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250312,67.07,Immediate Review,kpi_005,Patient Complaint Rate,Department Emergency Department on 2025-03-12 assessed as Elevated priority with Immediate Review urgency. The dominant risk driver is Patient Complaint Rate: threshold=Red; breach=Provisional Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_005; kpi_006.,Average Patient Waiting Time may be associated with Patient Complaint Rate,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250510,58.27,Immediate Review,kpi_005,Patient Complaint Rate,Department Emergency Department on 2025-05-10 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Complaint Rate: threshold=Red; breach=Provisional Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_005; kpi_006.,Average Patient Waiting Time may be associated with Patient Complaint Rate,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250719,49.14,Prompt Review,kpi_005,Patient Complaint Rate,Department Emergency Department on 2025-07-19 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Patient Complaint Rate: threshold=Amber; breach=Provisional Breach. Concurrent risk conditions observed in: kpi_001; kpi_004; kpi_005; kpi_006.,Average Patient Waiting Time may be associated with Patient Complaint Rate,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250913,46.5,Prompt Review,kpi_005,Patient Complaint Rate,Department Emergency Department on 2025-09-13 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Patient Complaint Rate: threshold=Amber; breach=Provisional Breach. Concurrent risk conditions observed in: kpi_004; kpi_005; kpi_006.,Average Patient Waiting Time may be associated with Patient Complaint Rate,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20250917,49.54,Immediate Review,kpi_005,Patient Complaint Rate,Department Emergency Department on 2025-09-17 assessed as Elevated priority with Immediate Review urgency. The dominant risk driver is Patient Complaint Rate: threshold=Red; breach=Provisional Breach. Concurrent risk conditions observed in: kpi_005.,Average Patient Waiting Time may be associated with Patient Complaint Rate,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20251116,49.05,Immediate Review,kpi_005,Patient Complaint Rate,Department Emergency Department on 2025-11-16 assessed as Elevated priority with Immediate Review urgency. The dominant risk driver is Patient Complaint Rate: threshold=Red; breach=Provisional Breach. Concurrent risk conditions observed in: kpi_004; kpi_005; kpi_006.,Average Patient Waiting Time may be associated with Patient Complaint Rate,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250128,55.3,Immediate Review,kpi_006,Patient Satisfaction Score,Department Emergency Department on 2025-01-28 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250309,53.39,Prompt Review,kpi_006,Patient Satisfaction Score,Department Emergency Department on 2025-03-09 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_004; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250318,77.7,Immediate Review,kpi_006,Patient Satisfaction Score,Department Emergency Department on 2025-03-18 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250323,60.96,Immediate Review,kpi_006,Patient Satisfaction Score,Department Emergency Department on 2025-03-23 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250330,57.36,Immediate Review,kpi_006,Patient Satisfaction Score,Department Emergency Department on 2025-03-30 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_004; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250412,54.91,Immediate Review,kpi_006,Patient Satisfaction Score,Department Emergency Department on 2025-04-12 assessed as Elevated priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_004; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250702,77.48,Immediate Review,kpi_006,Patient Satisfaction Score,Department Emergency Department on 2025-07-02 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_004; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250712,74.71,Immediate Review,kpi_006,Patient Satisfaction Score,Department Emergency Department on 2025-07-12 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_004; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250731,66.5,Immediate Review,kpi_006,Patient Satisfaction Score,Department Emergency Department on 2025-07-31 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_004; kpi_005; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250805,51.55,Immediate Review,kpi_006,Patient Satisfaction Score,Department Emergency Department on 2025-08-05 assessed as Elevated priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20250902,52.39,Immediate Review,kpi_006,Patient Satisfaction Score,Department Emergency Department on 2025-09-02 assessed as Elevated priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_004; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Emergency Department,,General Queue,3 days
