integrated_management_brief_id,decision_package_id,brief_type,final_readiness_status,governance_note
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-C78EF025,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-C99E0A26,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-C64D83FA,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,Assumption Validation Brief,Requires Assumption Validation,Brief type mapped from readiness
IMB-F6C736A7,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-8C653F7D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,Baseline Validation Brief,Requires Baseline Validation,Brief type mapped from readiness
IMB-492E385E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-48FB8DCF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,Assumption Validation Brief,Requires Assumption Validation,Brief type mapped from readiness
IMB-833250CD,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-394E2514,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-9E7A3849,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-524F8372,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,Baseline Validation Brief,Requires Baseline Validation,Brief type mapped from readiness
IMB-3B12D895,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-6A05B58B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-D89DB47B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,Baseline Validation Brief,Requires Baseline Validation,Brief type mapped from readiness
IMB-B778AC03,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-922A4E50,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603,Integrated Management Review Brief,Requires Budget Data,Brief type mapped from readiness
IMB-21A3EFE6,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610,Financial Input Brief,Requires Financial Input,Brief type mapped from readiness
IMB-43213456,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614,Lineage Completion Brief,Requires Lineage Completion,Brief type mapped from readiness
IMB-4FF86CE0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-006DB262,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707,Baseline Validation Brief,Requires Baseline Validation,Brief type mapped from readiness
IMB-B549CE27,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-156E2C74,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-21AACEF1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-F2E74DF4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-4085771E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-C2E556F1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-72F9988E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-B8D4CC46,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-4C56E237,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-27A400BB,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-8A948793,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,Non-Quantitative Review Brief,Non-Quantitative,Brief type mapped from readiness
IMB-0AA72C33,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,Non-Quantitative Review Brief,Non-Quantitative,Brief type mapped from readiness
IMB-B9191393,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,Non-Quantitative Review Brief,Non-Quantitative,Brief type mapped from readiness
IMB-8B9D7152,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,Non-Quantitative Review Brief,Non-Quantitative,Brief type mapped from readiness
IMB-D77CD007,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,Non-Quantitative Review Brief,Non-Quantitative,Brief type mapped from readiness
IMB-3D431876,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601,Integrated Management Review Brief,Requires Additional Scenario Analysis,Brief type mapped from readiness
IMB-9B0F67A0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-E9D2C951,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-05DD713F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-851E06E6,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-A1D3C221,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-6380C7FF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-D57D2899,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-47FDB072,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260913,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-934083AF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260917,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-7BE1D98F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20261116,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-62A15DA2,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-EA795E57,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260309,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-5732FCD4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260318,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-049A549E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260323,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-B2C01513,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260330,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-FB443D62,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260412,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-B88045DF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260702,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-391A1E0C,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260712,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-0A3D30AD,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260731,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-DC2EA785,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260805,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-1A93F606,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260902,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-C7C5A607,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260909,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-93A20730,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260914,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-E7E997C8,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260921,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-682B72A4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261004,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-624C0843,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261111,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-CAE02443,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261118,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-5C84850A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261129,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-223DFD1D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261203,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-FE7FE422,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261210,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-111BA3D8,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261224,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-B9B1A75B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260106,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-2A38C152,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260114,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-C0A54E84,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260211,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-C77876F2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260216,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-064EC872,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260323,Assumption Validation Brief,Requires Assumption Validation,Brief type mapped from readiness
IMB-2B756740,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260407,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-915EFB45,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260426,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-E3CC3205,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260505,Baseline Validation Brief,Requires Baseline Validation,Brief type mapped from readiness
IMB-E6B3E140,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260513,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-13E70BCB,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260528,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-28073BC2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260612,Assumption Validation Brief,Requires Assumption Validation,Brief type mapped from readiness
IMB-3CE03C24,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260707,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-6CD7F2B2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260801,Lineage Completion Brief,Requires Lineage Completion,Brief type mapped from readiness
IMB-06A4015B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260830,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-0C9DCEF0,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260914,Integrated Management Review Brief,Requires Budget Data,Brief type mapped from readiness
IMB-172B064A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260922,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-4AF91FF0,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261105,Assumption Validation Brief,Requires Assumption Validation,Brief type mapped from readiness
IMB-2DCF54ED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261111,Assumption Validation Brief,Requires Assumption Validation,Brief type mapped from readiness
IMB-2D60FD7F,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261130,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-C7AAAB07,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261227,Assumption Validation Brief,Requires Assumption Validation,Brief type mapped from readiness
IMB-B4F65D89,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260109,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-C1C3E1E2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260126,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-B74665AF,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260219,Lineage Completion Brief,Requires Lineage Completion,Brief type mapped from readiness
IMB-987EBA7F,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260227,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-7E733E9D,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260305,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-995A3411,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260315,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-89A7473C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260406,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-CC3BFB9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260422,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-B1693314,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260429,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-701A2435,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260522,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-9631D9EC,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260530,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-E01D65F0,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260615,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-3743E5BD,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260630,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-D59EBD35,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260718,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-2A56AE2A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260818,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-4648B0C8,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260911,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-3DD82F95,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261014,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-9231081D,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261019,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-265FF0DE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261026,Integrated Management Review Brief,Requires Additional Scenario Analysis,Brief type mapped from readiness
IMB-7DBAF719,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261118,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-97C8FD7E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261129,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-6BC23402,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261207,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-91BBAFF3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261213,Baseline Validation Brief,Requires Baseline Validation,Brief type mapped from readiness
IMB-386CA8B2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261217,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-8CEEF171,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261231,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-46AD96A2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260107,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-4340320B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260121,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-2161486E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260128,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-31EBC1B3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260202,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-5F9F2590,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260208,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-53CD2B12,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260218,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-2E28683C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260307,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-9FD9FF1F,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260322,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-03ABD945,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260326,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-F26D3264,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260415,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-16DD7396,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-30D8BDE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-FC03311E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-A202A375,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-689F2A9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-B2DADD32,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-FDA5EAA6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-76B0AC15,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-8C2A6FF4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-30FE98EE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-54E64CED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-EF4CFEBE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-CB25262E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-782CDB40,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-E43CF019,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-690EC515,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-B557EAE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-10CFE702,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-E161DFF5,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-5DFA847A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-0000B910,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-64443CF8,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261219,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-AC7E115B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261224,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-F54C3B47,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260215,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-D4B06227,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260403,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-D92EC905,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260411,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-A952A277,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260509,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-83619D53,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260515,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-1D9BD3AB,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260603,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-48408839,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260619,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-AC6D1811,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260623,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-3E3AEB31,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260628,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-A587DDF7,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260716,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-61C547DB,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260725,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-CDACA704,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260730,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-62900A29,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260809,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-E36AF0C6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260824,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-2D07A01A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260903,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-BAE8B09B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260910,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-F5FE764C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261012,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-BE951130,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261022,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-F2BE0F3C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261112,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-01002709,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261117,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-EF996049,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261126,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-BA0044BF,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261205,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-836DF5D4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261216,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-9C61F185,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261220,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-9D731432,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260116,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-C5B48087,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260208,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
