integrated_management_brief_id,decision_package_id,export_type,export_appendix,display_order,available_flag,governance_note
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
