decision_package_id,issue_type,issue_description,severity,visibility_rule
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
