decision_package_id,integrated_management_brief_id,streamlit_ready,validation_outcome,correction_classification,handover_status
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,IMB-8C653F7D,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,IMB-492E385E,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,IMB-48FB8DCF,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,IMB-833250CD,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,IMB-394E2514,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,IMB-9E7A3849,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,IMB-524F8372,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,IMB-3B12D895,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,IMB-6A05B58B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,IMB-D89DB47B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,IMB-B778AC03,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603,IMB-922A4E50,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610,IMB-21A3EFE6,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614,IMB-43213456,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,IMB-4FF86CE0,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707,IMB-006DB262,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818,IMB-B549CE27,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923,IMB-156E2C74,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,IMB-21AACEF1,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013,IMB-F2E74DF4,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026,IMB-4085771E,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,IMB-C2E556F1,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,IMB-72F9988E,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,IMB-B8D4CC46,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212,IMB-4C56E237,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217,IMB-27A400BB,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,IMB-8A948793,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,IMB-0AA72C33,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,IMB-B9191393,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,IMB-8B9D7152,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,IMB-D77CD007,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601,IMB-3D431876,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606,IMB-9B0F67A0,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,IMB-E9D2C951,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,IMB-05DD713F,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,IMB-851E06E6,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,IMB-A1D3C221,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,IMB-6380C7FF,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,IMB-D57D2899,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260913,IMB-47FDB072,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260917,IMB-934083AF,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20261116,IMB-7BE1D98F,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,IMB-62A15DA2,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260309,IMB-EA795E57,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260318,IMB-5732FCD4,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260323,IMB-049A549E,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260330,IMB-B2C01513,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260412,IMB-FB443D62,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260702,IMB-B88045DF,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260712,IMB-391A1E0C,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260731,IMB-0A3D30AD,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260805,IMB-DC2EA785,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260902,IMB-1A93F606,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260909,IMB-C7C5A607,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260914,IMB-93A20730,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260921,IMB-E7E997C8,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261004,IMB-682B72A4,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261111,IMB-624C0843,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261118,IMB-CAE02443,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261129,IMB-5C84850A,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261203,IMB-223DFD1D,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261210,IMB-FE7FE422,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261224,IMB-111BA3D8,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260106,IMB-B9B1A75B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260114,IMB-2A38C152,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260211,IMB-C0A54E84,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260216,IMB-C77876F2,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260323,IMB-064EC872,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260407,IMB-2B756740,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260426,IMB-915EFB45,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260505,IMB-E3CC3205,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260513,IMB-E6B3E140,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260528,IMB-13E70BCB,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260612,IMB-28073BC2,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260707,IMB-3CE03C24,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260801,IMB-6CD7F2B2,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260830,IMB-06A4015B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260914,IMB-0C9DCEF0,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260922,IMB-172B064A,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261105,IMB-4AF91FF0,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261111,IMB-2DCF54ED,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261130,IMB-2D60FD7F,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261227,IMB-C7AAAB07,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260109,IMB-B4F65D89,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260126,IMB-C1C3E1E2,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260219,IMB-B74665AF,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260227,IMB-987EBA7F,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260305,IMB-7E733E9D,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260315,IMB-995A3411,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260406,IMB-89A7473C,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260422,IMB-CC3BFB9A,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260429,IMB-B1693314,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260522,IMB-701A2435,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260530,IMB-9631D9EC,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260615,IMB-E01D65F0,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260630,IMB-3743E5BD,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260718,IMB-D59EBD35,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260818,IMB-2A56AE2A,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260911,IMB-4648B0C8,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261014,IMB-3DD82F95,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261019,IMB-9231081D,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261026,IMB-265FF0DE,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261118,IMB-7DBAF719,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261129,IMB-97C8FD7E,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261207,IMB-6BC23402,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261213,IMB-91BBAFF3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261217,IMB-386CA8B2,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261231,IMB-8CEEF171,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260107,IMB-46AD96A2,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260121,IMB-4340320B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260128,IMB-2161486E,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260202,IMB-31EBC1B3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260208,IMB-5F9F2590,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260218,IMB-53CD2B12,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260307,IMB-2E28683C,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260322,IMB-9FD9FF1F,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260326,IMB-03ABD945,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260415,IMB-F26D3264,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,IMB-16DD7396,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,IMB-30D8BDE3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,IMB-FC03311E,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,IMB-A202A375,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,IMB-689F2A9A,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,IMB-B2DADD32,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,IMB-FDA5EAA6,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,IMB-76B0AC15,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,IMB-8C2A6FF4,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,IMB-30FE98EE,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,IMB-54E64CED,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,IMB-EF4CFEBE,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,IMB-CB25262E,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,IMB-782CDB40,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261025,IMB-E43CF019,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261101,IMB-690EC515,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261109,IMB-B557EAE3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261125,IMB-10CFE702,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261202,IMB-E161DFF5,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261211,IMB-5DFA847A,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261215,IMB-0000B910,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261219,IMB-64443CF8,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261224,IMB-AC7E115B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260215,IMB-F54C3B47,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260403,IMB-D4B06227,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260411,IMB-D92EC905,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260509,IMB-A952A277,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260515,IMB-83619D53,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260603,IMB-1D9BD3AB,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260619,IMB-48408839,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260623,IMB-AC6D1811,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260628,IMB-3E3AEB31,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260716,IMB-A587DDF7,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260725,IMB-61C547DB,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260730,IMB-CDACA704,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260809,IMB-62900A29,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260824,IMB-E36AF0C6,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260903,IMB-2D07A01A,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260910,IMB-BAE8B09B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261012,IMB-F5FE764C,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261022,IMB-BE951130,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261112,IMB-F2BE0F3C,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261117,IMB-01002709,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261126,IMB-EF996049,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261205,IMB-BA0044BF,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261216,IMB-836DF5D4,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20261220,IMB-9C61F185,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260116,IMB-9D731432,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260208,IMB-C5B48087,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260330,IMB-2EA1C64B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260408,IMB-79A11B2E,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260421,IMB-D3D0FABB,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260502,IMB-6B454D57,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260605,IMB-2796B7CF,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260616,IMB-D04161A6,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260717,IMB-0D388BE3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260723,IMB-3B3E7177,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260728,IMB-72DA697D,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260916,IMB-65659028,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261008,IMB-94EED986,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261102,IMB-E59022E1,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261107,IMB-488F8429,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
