integrated_management_brief_id,decision_package_id,monitoring_required,monitoring_kpis,monitoring_frequency,trigger_condition,escalation_condition,reassessment_condition,monitoring_responsible_role,management_attention_required
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-C78EF025,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-C99E0A26,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-C64D83FA,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-F6C736A7,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-8C653F7D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-492E385E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-48FB8DCF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-833250CD,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-394E2514,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-9E7A3849,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-524F8372,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-3B12D895,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-6A05B58B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-D89DB47B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-B778AC03,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-922A4E50,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-21A3EFE6,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-43213456,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-4FF86CE0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-006DB262,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-B549CE27,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-156E2C74,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-21AACEF1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-F2E74DF4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-4085771E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-C2E556F1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-72F9988E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B8D4CC46,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-4C56E237,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-27A400BB,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-8A948793,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-0AA72C33,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-B9191393,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-8B9D7152,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-D77CD007,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-3D431876,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-9B0F67A0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-E9D2C951,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-05DD713F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-851E06E6,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-A1D3C221,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-6380C7FF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-D57D2899,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-47FDB072,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260913,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-934083AF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260917,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-7BE1D98F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20261116,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-62A15DA2,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-EA795E57,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260309,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5732FCD4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260318,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-049A549E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260323,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B2C01513,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260330,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-FB443D62,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260412,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B88045DF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260702,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-391A1E0C,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260712,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-0A3D30AD,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260731,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-DC2EA785,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260805,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-1A93F606,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260902,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-C7C5A607,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260909,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-93A20730,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260914,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E7E997C8,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260921,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-682B72A4,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261004,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-624C0843,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261111,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-CAE02443,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261118,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5C84850A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261129,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-223DFD1D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261203,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-FE7FE422,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261210,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-111BA3D8,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261224,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B9B1A75B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260106,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-2A38C152,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260114,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-C0A54E84,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260211,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-C77876F2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260216,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-064EC872,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260323,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-2B756740,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260407,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-915EFB45,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260426,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-E3CC3205,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260505,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-E6B3E140,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260513,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-13E70BCB,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260528,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-28073BC2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260612,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-3CE03C24,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260707,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-6CD7F2B2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260801,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-06A4015B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260830,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-0C9DCEF0,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260914,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-172B064A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260922,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-4AF91FF0,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261105,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-2DCF54ED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261111,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-2D60FD7F,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261130,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-C7AAAB07,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20261227,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B4F65D89,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260109,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-C1C3E1E2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260126,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B74665AF,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260219,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-987EBA7F,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260227,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-7E733E9D,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260305,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-995A3411,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260315,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-89A7473C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260406,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-CC3BFB9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260422,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-B1693314,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260429,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-701A2435,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260522,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-9631D9EC,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260530,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-E01D65F0,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260615,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-3743E5BD,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260630,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-D59EBD35,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260718,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-2A56AE2A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260818,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-4648B0C8,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260911,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-3DD82F95,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261014,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-9231081D,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261019,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-265FF0DE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261026,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-7DBAF719,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261118,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-97C8FD7E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261129,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-6BC23402,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261207,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-91BBAFF3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261213,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-386CA8B2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261217,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-8CEEF171,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261231,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-46AD96A2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260107,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-4340320B,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260121,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-2161486E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260128,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-31EBC1B3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260202,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5F9F2590,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260208,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-53CD2B12,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260218,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-2E28683C,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260307,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-9FD9FF1F,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260322,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-03ABD945,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260326,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-F26D3264,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260415,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-16DD7396,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-30D8BDE3,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-FC03311E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-A202A375,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-689F2A9A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B2DADD32,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-FDA5EAA6,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-76B0AC15,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-8C2A6FF4,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-30FE98EE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-54E64CED,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-EF4CFEBE,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-CB25262E,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
