staff_id,hospital_id,home_department_id,staff_role_id,staff_category,employment_type,fte_value,employment_start_date,employment_end_date,active_flag,source_primary_key,source_row_number,processing_run_id,validation_run_id,transformation_version,processed_datetime
STAFF-0120,HOSP-001,DEPT-MED,ROLE-HCA,Support,Contract,0.5,2023-06-12,,True,STAFF-0120,120,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0121,HOSP-001,DEPT-PEX,ROLE-RN,Nurse,Full-Time,1.0,2024-10-14,,True,STAFF-0121,121,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0122,HOSP-001,DEPT-ED,ROLE-RAD,Allied Health,Full-Time,1.0,2023-05-04,,True,STAFF-0122,122,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0123,HOSP-001,DEPT-MED,ROLE-REG,Administrative,Full-Time,1.0,2024-06-16,,True,STAFF-0123,123,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0124,HOSP-001,DEPT-SURG,ROLE-RAD,Allied Health,Full-Time,1.0,2023-03-23,,True,STAFF-0124,124,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0125,HOSP-001,DEPT-ADM,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-06-01,,True,STAFF-0125,125,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0126,HOSP-001,DEPT-PEX,ROLE-HCA,Support,Part-Time,0.5,2024-12-12,,True,STAFF-0126,126,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0127,HOSP-001,DEPT-ADM,ROLE-PEO,Administrative,Full-Time,1.0,2023-08-07,,True,STAFF-0127,127,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0128,HOSP-001,DEPT-MED,ROLE-REG,Administrative,Full-Time,1.0,2023-02-24,,True,STAFF-0128,128,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0129,HOSP-001,DEPT-PEX,ROLE-AMO,Doctor,Full-Time,1.0,2023-01-16,,True,STAFF-0129,129,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0130,HOSP-001,DEPT-MED,ROLE-MO,Doctor,Part-Time,0.5,2024-10-12,,True,STAFF-0130,130,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0131,HOSP-001,DEPT-PEX,ROLE-PHARM,Allied Health,Full-Time,1.0,2024-05-22,,True,STAFF-0131,131,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0132,HOSP-001,DEPT-ICU,ROLE-PEO,Administrative,Part-Time,0.5,2024-06-30,,True,STAFF-0132,132,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0133,HOSP-001,DEPT-MED,ROLE-AMO,Doctor,Part-Time,0.5,2024-07-03,,True,STAFF-0133,133,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0134,HOSP-001,DEPT-ADM,ROLE-ED-PHY,Doctor,Full-Time,1.0,2023-05-28,,True,STAFF-0134,134,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0135,HOSP-001,DEPT-OPC,ROLE-AMO,Doctor,Full-Time,1.0,2024-02-15,,True,STAFF-0135,135,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0136,HOSP-001,DEPT-OPC,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-01-30,,True,STAFF-0136,136,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0137,HOSP-001,DEPT-MED,ROLE-MO,Doctor,Part-Time,0.5,2023-08-11,,True,STAFF-0137,137,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0138,HOSP-001,DEPT-ED,ROLE-RAD,Allied Health,Part-Time,0.6,2023-02-03,,True,STAFF-0138,138,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0139,HOSP-001,DEPT-SURG,ROLE-AMO,Doctor,Full-Time,1.0,2024-04-06,,True,STAFF-0139,139,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0140,HOSP-001,DEPT-ADM,ROLE-AMO,Doctor,Full-Time,1.0,2023-11-06,,True,STAFF-0140,140,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0141,HOSP-001,DEPT-ADM,ROLE-HCA,Support,Full-Time,1.0,2024-08-17,,True,STAFF-0141,141,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0142,HOSP-001,DEPT-ADM,ROLE-RN,Nurse,Part-Time,0.5,2023-10-11,,True,STAFF-0142,142,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0143,HOSP-001,DEPT-DIAG,ROLE-HCA,Support,Full-Time,1.0,2024-05-23,,True,STAFF-0143,143,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0144,HOSP-001,DEPT-ADM,ROLE-MO,Doctor,Part-Time,0.6,2023-12-07,,True,STAFF-0144,144,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0145,HOSP-001,DEPT-ED,ROLE-PEO,Administrative,Full-Time,1.0,2023-02-11,,True,STAFF-0145,145,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0146,HOSP-001,DEPT-ICU,ROLE-HCA,Support,Full-Time,1.0,2023-02-10,,True,STAFF-0146,146,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0147,HOSP-001,DEPT-SURG,ROLE-PEO,Administrative,Full-Time,1.0,2023-01-16,,True,STAFF-0147,147,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0148,HOSP-001,DEPT-ADM,ROLE-REG,Administrative,Contract,0.5,2023-08-01,,True,STAFF-0148,148,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0149,HOSP-001,DEPT-MED,ROLE-MO,Doctor,Full-Time,1.0,2024-01-04,,True,STAFF-0149,149,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0150,HOSP-001,DEPT-ADM,ROLE-RAD,Allied Health,Full-Time,1.0,2024-05-20,,True,STAFF-0150,150,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0151,HOSP-001,DEPT-ICU,ROLE-PEO,Administrative,Full-Time,1.0,2023-02-01,,True,STAFF-0151,151,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0152,HOSP-001,DEPT-OPC,ROLE-RAD,Allied Health,Full-Time,1.0,2024-10-03,,True,STAFF-0152,152,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0153,HOSP-001,DEPT-ED,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-02-14,,True,STAFF-0153,153,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0154,HOSP-001,DEPT-MED,ROLE-ED-PHY,Doctor,Full-Time,1.0,2023-04-26,,True,STAFF-0154,154,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0155,HOSP-001,DEPT-SURG,ROLE-HCA,Support,Part-Time,0.6,2023-03-12,,True,STAFF-0155,155,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0156,HOSP-001,DEPT-ED,ROLE-PEO,Administrative,Full-Time,1.0,2023-10-12,,True,STAFF-0156,156,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0157,HOSP-001,DEPT-OPC,ROLE-ED-PHY,Doctor,Part-Time,0.6,2024-02-08,,True,STAFF-0157,157,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0158,HOSP-001,DEPT-ADM,ROLE-HCA,Support,Contract,0.5,2023-05-16,,True,STAFF-0158,158,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0159,HOSP-001,DEPT-DIAG,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-03-26,,True,STAFF-0159,159,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0160,HOSP-001,DEPT-MED,ROLE-HCA,Support,Full-Time,1.0,2024-07-24,,True,STAFF-0160,160,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0161,HOSP-001,DEPT-OPC,ROLE-ED-PHY,Doctor,Full-Time,1.0,2023-01-30,,True,STAFF-0161,161,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0162,HOSP-001,DEPT-ICU,ROLE-RAD,Allied Health,Full-Time,1.0,2024-11-29,,True,STAFF-0162,162,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0163,HOSP-001,DEPT-ICU,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-05-13,,True,STAFF-0163,163,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0164,HOSP-001,DEPT-DIAG,ROLE-REG,Administrative,Full-Time,1.0,2023-01-30,,True,STAFF-0164,164,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0165,HOSP-001,DEPT-ICU,ROLE-HCA,Support,Full-Time,1.0,2023-01-06,,True,STAFF-0165,165,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0166,HOSP-001,DEPT-DIAG,ROLE-PEO,Administrative,Part-Time,0.5,2024-03-09,,True,STAFF-0166,166,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0167,HOSP-001,DEPT-ADM,ROLE-HCA,Support,Part-Time,0.6,2023-12-14,,True,STAFF-0167,167,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0168,HOSP-001,DEPT-DIAG,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-12-03,,True,STAFF-0168,168,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0169,HOSP-001,DEPT-SURG,ROLE-PHARM,Allied Health,Part-Time,0.5,2024-04-25,,True,STAFF-0169,169,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0170,HOSP-001,DEPT-SURG,ROLE-REG,Administrative,Full-Time,1.0,2023-03-11,,True,STAFF-0170,170,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0171,HOSP-001,DEPT-ICU,ROLE-REG,Administrative,Full-Time,1.0,2023-08-20,,True,STAFF-0171,171,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0172,HOSP-001,DEPT-SURG,ROLE-ED-PHY,Doctor,Part-Time,0.5,2024-08-03,,True,STAFF-0172,172,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0173,HOSP-001,DEPT-SURG,ROLE-HCA,Support,Part-Time,0.6,2024-07-02,,True,STAFF-0173,173,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0174,HOSP-001,DEPT-PEX,ROLE-PEO,Administrative,Contract,0.75,2023-02-15,,True,STAFF-0174,174,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0175,HOSP-001,DEPT-ICU,ROLE-MO,Doctor,Contract,0.5,2023-01-17,,True,STAFF-0175,175,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0176,HOSP-001,DEPT-PEX,ROLE-PEO,Administrative,Full-Time,1.0,2024-05-20,,True,STAFF-0176,176,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0177,HOSP-001,DEPT-ED,ROLE-PEO,Administrative,Contract,0.75,2024-11-14,,True,STAFF-0177,177,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0178,HOSP-001,DEPT-ED,ROLE-RN,Nurse,Full-Time,1.0,2024-06-17,,True,STAFF-0178,178,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0179,HOSP-001,DEPT-ICU,ROLE-MO,Doctor,Full-Time,1.0,2024-07-25,,True,STAFF-0179,179,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0180,HOSP-001,DEPT-PEX,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-07-05,,True,STAFF-0180,180,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
