bed_capacity_record_id,hospital_id,department_id,reporting_date,reporting_month,licensed_beds,staffed_beds,operational_beds,occupied_beds,unavailable_beds,reserved_beds,beds_above_operational_capacity,overcapacity_flag,overcapacity_exception_flag,overcapacity_reason,valid_bed_record_flag,source_primary_key,processing_run_id,validation_run_id,transformation_version,processed_datetime,source_row_number
BED-000000274,HOSP-001,DEPT-MED,2026-04-02,2026-04,120,117,114,107,6,3,0,False,False,,True,BED-000000274,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000275,HOSP-001,DEPT-SURG,2026-04-02,2026-04,100,90,88,89,12,1,1,True,True,Occupied exceeds operational capacity,True,BED-000000275,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000276,HOSP-001,DEPT-ICU,2026-04-02,2026-04,24,22,21,21,3,0,0,False,False,,True,BED-000000276,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000277,HOSP-001,DEPT-MED,2026-04-03,2026-04,120,109,101,95,19,2,0,False,False,,True,BED-000000277,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000278,HOSP-001,DEPT-SURG,2026-04-03,2026-04,100,96,91,89,9,1,0,False,False,,True,BED-000000278,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000279,HOSP-001,DEPT-ICU,2026-04-03,2026-04,24,23,22,20,2,0,0,False,False,,True,BED-000000279,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000280,HOSP-001,DEPT-MED,2026-04-04,2026-04,120,111,109,117,11,1,8,True,True,Occupied exceeds operational capacity,True,BED-000000280,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000281,HOSP-001,DEPT-SURG,2026-04-04,2026-04,100,99,98,93,2,0,0,False,False,,True,BED-000000281,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000282,HOSP-001,DEPT-ICU,2026-04-04,2026-04,24,21,19,16,5,0,0,False,False,,True,BED-000000282,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000283,HOSP-001,DEPT-MED,2026-04-05,2026-04,120,109,107,113,13,1,6,True,True,Occupied exceeds operational capacity,True,BED-000000283,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000284,HOSP-001,DEPT-SURG,2026-04-05,2026-04,100,95,91,93,9,1,2,True,True,Occupied exceeds operational capacity,True,BED-000000284,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000285,HOSP-001,DEPT-ICU,2026-04-05,2026-04,24,22,21,18,3,0,0,False,False,,True,BED-000000285,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000286,HOSP-001,DEPT-MED,2026-04-06,2026-04,120,119,117,122,3,5,5,True,True,Occupied exceeds operational capacity,True,BED-000000286,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000287,HOSP-001,DEPT-SURG,2026-04-06,2026-04,100,99,98,101,2,1,3,True,True,Occupied exceeds operational capacity,True,BED-000000287,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000288,HOSP-001,DEPT-ICU,2026-04-06,2026-04,24,22,20,19,4,0,0,False,False,,True,BED-000000288,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000289,HOSP-001,DEPT-MED,2026-04-07,2026-04,120,117,110,115,10,1,5,True,True,Occupied exceeds operational capacity,True,BED-000000289,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000290,HOSP-001,DEPT-SURG,2026-04-07,2026-04,100,95,92,98,8,4,6,True,True,Occupied exceeds operational capacity,True,BED-000000290,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000291,HOSP-001,DEPT-ICU,2026-04-07,2026-04,24,23,21,18,3,0,0,False,False,,True,BED-000000291,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000292,HOSP-001,DEPT-MED,2026-04-08,2026-04,120,117,112,106,8,4,0,False,False,,True,BED-000000292,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000293,HOSP-001,DEPT-SURG,2026-04-08,2026-04,100,95,91,83,9,3,0,False,False,,True,BED-000000293,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000294,HOSP-001,DEPT-ICU,2026-04-08,2026-04,24,22,20,17,4,0,0,False,False,,True,BED-000000294,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000295,HOSP-001,DEPT-MED,2026-04-09,2026-04,120,116,115,117,5,2,2,True,True,Occupied exceeds operational capacity,True,BED-000000295,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000296,HOSP-001,DEPT-SURG,2026-04-09,2026-04,100,90,87,79,13,0,0,False,False,,True,BED-000000296,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000297,HOSP-001,DEPT-ICU,2026-04-09,2026-04,24,22,21,20,3,0,0,False,False,,True,BED-000000297,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000298,HOSP-001,DEPT-MED,2026-04-10,2026-04,120,116,107,95,13,2,0,False,False,,True,BED-000000298,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000299,HOSP-001,DEPT-SURG,2026-04-10,2026-04,100,93,88,94,12,2,6,True,True,Occupied exceeds operational capacity,True,BED-000000299,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000300,HOSP-001,DEPT-ICU,2026-04-10,2026-04,24,23,22,23,2,0,1,True,True,Occupied exceeds operational capacity,True,BED-000000300,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000301,HOSP-001,DEPT-MED,2026-04-11,2026-04,120,112,105,104,15,3,0,False,False,,True,BED-000000301,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000302,HOSP-001,DEPT-SURG,2026-04-11,2026-04,100,90,83,80,17,3,0,False,False,,True,BED-000000302,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000303,HOSP-001,DEPT-ICU,2026-04-11,2026-04,24,22,20,18,4,0,0,False,False,,True,BED-000000303,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000304,HOSP-001,DEPT-MED,2026-04-12,2026-04,120,110,101,107,19,3,6,True,True,Occupied exceeds operational capacity,True,BED-000000304,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000305,HOSP-001,DEPT-SURG,2026-04-12,2026-04,100,93,88,95,12,0,7,True,True,Occupied exceeds operational capacity,True,BED-000000305,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000306,HOSP-001,DEPT-ICU,2026-04-12,2026-04,24,22,21,21,3,0,0,False,False,,True,BED-000000306,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000307,HOSP-001,DEPT-MED,2026-04-13,2026-04,120,117,116,102,4,0,0,False,False,,True,BED-000000307,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000308,HOSP-001,DEPT-SURG,2026-04-13,2026-04,100,95,94,99,6,3,5,True,True,Occupied exceeds operational capacity,True,BED-000000308,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000309,HOSP-001,DEPT-ICU,2026-04-13,2026-04,24,21,20,19,4,0,0,False,False,,True,BED-000000309,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000310,HOSP-001,DEPT-MED,2026-04-14,2026-04,120,118,113,115,7,2,2,True,True,Occupied exceeds operational capacity,True,BED-000000310,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000311,HOSP-001,DEPT-SURG,2026-04-14,2026-04,100,90,88,81,12,4,0,False,False,,True,BED-000000311,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000312,HOSP-001,DEPT-ICU,2026-04-14,2026-04,24,21,19,19,5,0,0,False,False,,True,BED-000000312,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000313,HOSP-001,DEPT-MED,2026-04-15,2026-04,120,112,109,94,11,2,0,False,False,,True,BED-000000313,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000314,HOSP-001,DEPT-SURG,2026-04-15,2026-04,100,94,92,95,8,0,3,True,True,Occupied exceeds operational capacity,True,BED-000000314,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000315,HOSP-001,DEPT-ICU,2026-04-15,2026-04,24,22,21,22,3,0,1,True,True,Occupied exceeds operational capacity,True,BED-000000315,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000316,HOSP-001,DEPT-MED,2026-04-16,2026-04,120,119,113,108,7,3,0,False,False,,True,BED-000000316,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000317,HOSP-001,DEPT-SURG,2026-04-16,2026-04,100,90,86,87,14,3,1,True,True,Occupied exceeds operational capacity,True,BED-000000317,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000318,HOSP-001,DEPT-ICU,2026-04-16,2026-04,24,22,21,20,3,0,0,False,False,,True,BED-000000318,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000319,HOSP-001,DEPT-MED,2026-04-17,2026-04,120,109,107,110,13,4,3,True,True,Occupied exceeds operational capacity,True,BED-000000319,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000320,HOSP-001,DEPT-SURG,2026-04-17,2026-04,100,93,92,82,8,4,0,False,False,,True,BED-000000320,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000321,HOSP-001,DEPT-ICU,2026-04-17,2026-04,24,23,21,18,3,0,0,False,False,,True,BED-000000321,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000322,HOSP-001,DEPT-MED,2026-04-18,2026-04,120,111,105,103,15,2,0,False,False,,True,BED-000000322,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000323,HOSP-001,DEPT-SURG,2026-04-18,2026-04,100,98,97,99,3,1,2,True,True,Occupied exceeds operational capacity,True,BED-000000323,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000324,HOSP-001,DEPT-ICU,2026-04-18,2026-04,24,22,20,21,4,0,1,True,True,Occupied exceeds operational capacity,True,BED-000000324,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000325,HOSP-001,DEPT-MED,2026-04-19,2026-04,120,108,105,96,15,3,0,False,False,,True,BED-000000325,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000326,HOSP-001,DEPT-SURG,2026-04-19,2026-04,100,95,91,86,9,3,0,False,False,,True,BED-000000326,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000327,HOSP-001,DEPT-ICU,2026-04-19,2026-04,24,23,21,22,3,0,1,True,True,Occupied exceeds operational capacity,True,BED-000000327,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000328,HOSP-001,DEPT-MED,2026-04-20,2026-04,120,113,110,113,10,1,3,True,True,Occupied exceeds operational capacity,True,BED-000000328,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000329,HOSP-001,DEPT-SURG,2026-04-20,2026-04,100,95,94,96,6,3,2,True,True,Occupied exceeds operational capacity,True,BED-000000329,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000330,HOSP-001,DEPT-ICU,2026-04-20,2026-04,24,22,21,22,3,0,1,True,True,Occupied exceeds operational capacity,True,BED-000000330,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000331,HOSP-001,DEPT-MED,2026-04-21,2026-04,120,113,104,107,16,4,3,True,True,Occupied exceeds operational capacity,True,BED-000000331,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000332,HOSP-001,DEPT-SURG,2026-04-21,2026-04,100,97,89,84,11,2,0,False,False,,True,BED-000000332,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000333,HOSP-001,DEPT-ICU,2026-04-21,2026-04,24,21,20,20,4,0,0,False,False,,True,BED-000000333,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000334,HOSP-001,DEPT-MED,2026-04-22,2026-04,120,117,116,119,4,3,3,True,True,Occupied exceeds operational capacity,True,BED-000000334,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000335,HOSP-001,DEPT-SURG,2026-04-22,2026-04,100,94,88,91,12,2,3,True,True,Occupied exceeds operational capacity,True,BED-000000335,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000336,HOSP-001,DEPT-ICU,2026-04-22,2026-04,24,23,21,21,3,0,0,False,False,,True,BED-000000336,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000337,HOSP-001,DEPT-MED,2026-04-23,2026-04,120,110,103,106,17,0,3,True,True,Occupied exceeds operational capacity,True,BED-000000337,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000338,HOSP-001,DEPT-SURG,2026-04-23,2026-04,100,91,86,74,14,4,0,False,False,,True,BED-000000338,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000339,HOSP-001,DEPT-ICU,2026-04-23,2026-04,24,23,21,22,3,0,1,True,True,Occupied exceeds operational capacity,True,BED-000000339,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000340,HOSP-001,DEPT-MED,2026-04-24,2026-04,120,112,109,103,11,4,0,False,False,,True,BED-000000340,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000341,HOSP-001,DEPT-SURG,2026-04-24,2026-04,100,94,93,84,7,3,0,False,False,,True,BED-000000341,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000342,HOSP-001,DEPT-ICU,2026-04-24,2026-04,24,22,21,20,3,0,0,False,False,,True,BED-000000342,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000343,HOSP-001,DEPT-MED,2026-04-25,2026-04,120,114,113,117,7,2,4,True,True,Occupied exceeds operational capacity,True,BED-000000343,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000344,HOSP-001,DEPT-SURG,2026-04-25,2026-04,100,97,95,97,5,0,2,True,True,Occupied exceeds operational capacity,True,BED-000000344,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000345,HOSP-001,DEPT-ICU,2026-04-25,2026-04,24,23,21,21,3,0,0,False,False,,True,BED-000000345,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000346,HOSP-001,DEPT-MED,2026-04-26,2026-04,120,112,106,97,14,2,0,False,False,,True,BED-000000346,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000347,HOSP-001,DEPT-SURG,2026-04-26,2026-04,100,96,90,89,10,2,0,False,False,,True,BED-000000347,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000348,HOSP-001,DEPT-ICU,2026-04-26,2026-04,24,22,21,19,3,0,0,False,False,,True,BED-000000348,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000349,HOSP-001,DEPT-MED,2026-04-27,2026-04,120,117,116,119,4,2,3,True,True,Occupied exceeds operational capacity,True,BED-000000349,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000350,HOSP-001,DEPT-SURG,2026-04-27,2026-04,100,97,93,91,7,1,0,False,False,,True,BED-000000350,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000351,HOSP-001,DEPT-ICU,2026-04-27,2026-04,24,22,20,19,4,0,0,False,False,,True,BED-000000351,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000352,HOSP-001,DEPT-MED,2026-04-28,2026-04,120,109,104,98,16,1,0,False,False,,True,BED-000000352,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000353,HOSP-001,DEPT-SURG,2026-04-28,2026-04,100,98,96,88,4,4,0,False,False,,True,BED-000000353,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000354,HOSP-001,DEPT-ICU,2026-04-28,2026-04,24,23,21,18,3,0,0,False,False,,True,BED-000000354,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000355,HOSP-001,DEPT-MED,2026-04-29,2026-04,120,118,110,117,10,0,7,True,True,Occupied exceeds operational capacity,True,BED-000000355,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000356,HOSP-001,DEPT-SURG,2026-04-29,2026-04,100,94,87,88,13,3,1,True,True,Occupied exceeds operational capacity,True,BED-000000356,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000357,HOSP-001,DEPT-ICU,2026-04-29,2026-04,24,22,20,20,4,0,0,False,False,,True,BED-000000357,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000358,HOSP-001,DEPT-MED,2026-04-30,2026-04,120,116,107,108,13,0,1,True,True,Occupied exceeds operational capacity,True,BED-000000358,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000359,HOSP-001,DEPT-SURG,2026-04-30,2026-04,100,95,92,83,8,3,0,False,False,,True,BED-000000359,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000360,HOSP-001,DEPT-ICU,2026-04-30,2026-04,24,22,20,18,4,0,0,False,False,,True,BED-000000360,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000361,HOSP-001,DEPT-MED,2026-05-01,2026-05,120,110,109,105,11,0,0,False,False,,True,BED-000000361,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000362,HOSP-001,DEPT-SURG,2026-05-01,2026-05,100,99,93,84,7,3,0,False,False,,True,BED-000000362,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000363,HOSP-001,DEPT-ICU,2026-05-01,2026-05,24,21,20,17,4,0,0,False,False,,True,BED-000000363,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000364,HOSP-001,DEPT-MED,2026-05-02,2026-05,120,117,108,109,12,3,1,True,True,Occupied exceeds operational capacity,True,BED-000000364,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000365,HOSP-001,DEPT-SURG,2026-05-02,2026-05,100,90,84,78,16,2,0,False,False,,True,BED-000000365,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000366,HOSP-001,DEPT-ICU,2026-05-02,2026-05,24,23,22,20,2,0,0,False,False,,True,BED-000000366,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000367,HOSP-001,DEPT-MED,2026-05-03,2026-05,120,114,104,107,16,0,3,True,True,Occupied exceeds operational capacity,True,BED-000000367,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000368,HOSP-001,DEPT-SURG,2026-05-03,2026-05,100,99,94,88,6,4,0,False,False,,True,BED-000000368,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000369,HOSP-001,DEPT-ICU,2026-05-03,2026-05,24,23,21,21,3,0,0,False,False,,True,BED-000000369,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000370,HOSP-001,DEPT-MED,2026-05-04,2026-05,120,108,106,109,14,4,3,True,True,Occupied exceeds operational capacity,True,BED-000000370,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000371,HOSP-001,DEPT-SURG,2026-05-04,2026-05,100,98,97,88,3,0,0,False,False,,True,BED-000000371,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000372,HOSP-001,DEPT-ICU,2026-05-04,2026-05,24,23,22,21,2,0,0,False,False,,True,BED-000000372,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000373,HOSP-001,DEPT-MED,2026-05-05,2026-05,120,114,106,93,14,1,0,False,False,,True,BED-000000373,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000374,HOSP-001,DEPT-SURG,2026-05-05,2026-05,100,92,90,80,10,3,0,False,False,,True,BED-000000374,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000375,HOSP-001,DEPT-ICU,2026-05-05,2026-05,24,21,20,19,4,0,0,False,False,,True,BED-000000375,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000376,HOSP-001,DEPT-MED,2026-05-06,2026-05,120,109,105,112,15,2,7,True,True,Occupied exceeds operational capacity,True,BED-000000376,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000377,HOSP-001,DEPT-SURG,2026-05-06,2026-05,100,94,87,82,13,1,0,False,False,,True,BED-000000377,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000378,HOSP-001,DEPT-ICU,2026-05-06,2026-05,24,22,20,21,4,0,1,True,True,Occupied exceeds operational capacity,True,BED-000000378,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000379,HOSP-001,DEPT-MED,2026-05-07,2026-05,120,108,106,109,14,1,3,True,True,Occupied exceeds operational capacity,True,BED-000000379,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000380,HOSP-001,DEPT-SURG,2026-05-07,2026-05,100,95,88,85,12,1,0,False,False,,True,BED-000000380,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000381,HOSP-001,DEPT-ICU,2026-05-07,2026-05,24,22,20,18,4,0,0,False,False,,True,BED-000000381,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000382,HOSP-001,DEPT-MED,2026-05-08,2026-05,120,115,110,107,10,5,0,False,False,,True,BED-000000382,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000383,HOSP-001,DEPT-SURG,2026-05-08,2026-05,100,92,90,91,10,2,1,True,True,Occupied exceeds operational capacity,True,BED-000000383,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
