staff_id,hospital_id,department_id,role_id,staff_name,email,phone_number,ic_number,address,employment_type,fte_value,is_active,employment_start_date,employment_end_date,source_system,record_version,record_created_datetime,record_updated_datetime
STAFF-0156,HOSP-001,DEPT-ED,ROLE-PEO,,,,,,Full-Time,1.0,True,2024-10-11,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0157,HOSP-001,DEPT-OPC,ROLE-ED-PHY,,,,,,Part-Time,0.6,True,2025-02-07,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0158,HOSP-001,DEPT-ADM,ROLE-HCA,,,,,,Contract,0.5,True,2024-05-15,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0159,HOSP-001,DEPT-DIAG,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-03-25,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0160,HOSP-001,DEPT-MED,ROLE-HCA,,,,,,Full-Time,1.0,True,2025-07-24,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0161,HOSP-001,DEPT-OPC,ROLE-ED-PHY,,,,,,Full-Time,1.0,True,2024-01-30,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0162,HOSP-001,DEPT-ICU,ROLE-RAD,,,,,,Full-Time,1.0,True,2025-11-29,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0163,HOSP-001,DEPT-ICU,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-05-12,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0164,HOSP-001,DEPT-DIAG,ROLE-REG,,,,,,Full-Time,1.0,True,2024-01-30,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0165,HOSP-001,DEPT-ICU,ROLE-HCA,,,,,,Full-Time,1.0,True,2024-01-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0166,HOSP-001,DEPT-DIAG,ROLE-PEO,,,,,,Part-Time,0.5,True,2025-03-09,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0167,HOSP-001,DEPT-ADM,ROLE-HCA,,,,,,Part-Time,0.6,True,2024-12-13,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0168,HOSP-001,DEPT-DIAG,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-12-02,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0169,HOSP-001,DEPT-SURG,ROLE-PHARM,,,,,,Part-Time,0.5,True,2025-04-25,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0170,HOSP-001,DEPT-SURG,ROLE-REG,,,,,,Full-Time,1.0,True,2024-03-10,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0171,HOSP-001,DEPT-ICU,ROLE-REG,,,,,,Full-Time,1.0,True,2024-08-19,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0172,HOSP-001,DEPT-SURG,ROLE-ED-PHY,,,,,,Part-Time,0.5,True,2025-08-03,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0173,HOSP-001,DEPT-SURG,ROLE-HCA,,,,,,Part-Time,0.6,True,2025-07-02,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0174,HOSP-001,DEPT-PEX,ROLE-PEO,,,,,,Contract,0.75,True,2024-02-15,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0175,HOSP-001,DEPT-ICU,ROLE-MO,,,,,,Contract,0.5,True,2024-01-17,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0176,HOSP-001,DEPT-PEX,ROLE-PEO,,,,,,Full-Time,1.0,True,2025-05-20,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0177,HOSP-001,DEPT-ED,ROLE-PEO,,,,,,Contract,0.75,True,2025-11-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0178,HOSP-001,DEPT-ED,ROLE-RN,,,,,,Full-Time,1.0,True,2025-06-17,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0179,HOSP-001,DEPT-ICU,ROLE-MO,,,,,,Full-Time,1.0,True,2025-07-25,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0180,HOSP-001,DEPT-PEX,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-07-04,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
