cf_record_id,relationship_id,source_kpi_id,source_kpi_name,target_kpi_id,target_kpi_name,contributing_factor_classification,confidence_level,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_005,kpi_001_kpi_005,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_006,kpi_001_kpi_006,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_003,kpi_002_kpi_003,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,Weak Association,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_004,kpi_002_kpi_004,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,Weak Association,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_005,kpi_002_kpi_005,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_006,kpi_002_kpi_006,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_004,kpi_003_kpi_004,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_005,kpi_003_kpi_005,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_006,kpi_003_kpi_006,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_004-kpi_005,kpi_004_kpi_005,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_004-kpi_006,kpi_004_kpi_006,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_005-kpi_006,kpi_005_kpi_006,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_002,kpi_001_kpi_002,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,Supported Association,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_003,kpi_001_kpi_003,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_004,kpi_001_kpi_004,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,Supported Association,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_005,kpi_001_kpi_005,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_006,kpi_001_kpi_006,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_002-kpi_003,kpi_002_kpi_003,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,Weak Association,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_002-kpi_004,kpi_002_kpi_004,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,Supported Association,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_002-kpi_005,kpi_002_kpi_005,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_002-kpi_006,kpi_002_kpi_006,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_003-kpi_004,kpi_003_kpi_004,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_003-kpi_005,kpi_003_kpi_005,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_003-kpi_006,kpi_003_kpi_006,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_004-kpi_005,kpi_004_kpi_005,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,Weak Association,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_004-kpi_006,kpi_004_kpi_006,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,Supported Association,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_005-kpi_006,kpi_005_kpi_006,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
