lineage_id,scenario_run_id,source_type,source_id,source_file,link_type,recorded_at
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-BASE-001-COMP-3,SR-BL-5C8256177ABE7D9E-COMP-BASE-001,Comparator Config,COMP-BASE-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.516533
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-BASE-001-PKG-4,SR-BL-5C8256177ABE7D9E-COMP-BASE-001,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.516538
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-BASE-001-EP-5,SR-BL-5C8256177ABE7D9E-COMP-BASE-001,Episode,EP-HOSP-001-DEPT-ED-kpi_001-20261113,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.516542
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-CONS-001-BASE-0,SR-BL-5C8256177ABE7D9E-COMP-CONS-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.521147
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-CONS-001-REC-1,SR-BL-5C8256177ABE7D9E-COMP-CONS-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ED-20261113,,Contributed To,2026-07-28T14:59:00.521154
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-CONS-001-RECID-2,SR-BL-5C8256177ABE7D9E-COMP-CONS-001,Recommendation,REC-CASE-DEPT-ED-20261113-OPT1,,Approved By,2026-07-28T14:59:00.521160
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-CONS-001-COMP-3,SR-BL-5C8256177ABE7D9E-COMP-CONS-001,Comparator Config,COMP-CONS-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.521165
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-CONS-001-PKG-4,SR-BL-5C8256177ABE7D9E-COMP-CONS-001,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.521169
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-CONS-001-EP-5,SR-BL-5C8256177ABE7D9E-COMP-CONS-001,Episode,EP-HOSP-001-DEPT-ED-kpi_001-20261113,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.521174
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-EXP-001-BASE-0,SR-BL-5C8256177ABE7D9E-COMP-EXP-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.526460
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-EXP-001-REC-1,SR-BL-5C8256177ABE7D9E-COMP-EXP-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ED-20261113,,Contributed To,2026-07-28T14:59:00.526473
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-EXP-001-RECID-2,SR-BL-5C8256177ABE7D9E-COMP-EXP-001,Recommendation,REC-CASE-DEPT-ED-20261113-OPT1,,Approved By,2026-07-28T14:59:00.526481
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-EXP-001-COMP-3,SR-BL-5C8256177ABE7D9E-COMP-EXP-001,Comparator Config,COMP-EXP-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.526489
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-EXP-001-PKG-4,SR-BL-5C8256177ABE7D9E-COMP-EXP-001,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.526495
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-EXP-001-EP-5,SR-BL-5C8256177ABE7D9E-COMP-EXP-001,Episode,EP-HOSP-001-DEPT-ED-kpi_001-20261113,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.526502
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-HIGH-001-BASE-0,SR-BL-5C8256177ABE7D9E-COMP-HIGH-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.532180
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-HIGH-001-REC-1,SR-BL-5C8256177ABE7D9E-COMP-HIGH-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ED-20261113,,Contributed To,2026-07-28T14:59:00.532187
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-HIGH-001-RECID-2,SR-BL-5C8256177ABE7D9E-COMP-HIGH-001,Recommendation,REC-CASE-DEPT-ED-20261113-OPT1,,Approved By,2026-07-28T14:59:00.532193
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-HIGH-001-COMP-3,SR-BL-5C8256177ABE7D9E-COMP-HIGH-001,Comparator Config,COMP-HIGH-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.532199
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-HIGH-001-PKG-4,SR-BL-5C8256177ABE7D9E-COMP-HIGH-001,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.532203
LIN-EV-SR-BL-5C8256177ABE7D9E-COMP-HIGH-001-EP-5,SR-BL-5C8256177ABE7D9E-COMP-HIGH-001,Episode,EP-HOSP-001-DEPT-ED-kpi_001-20261113,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.532209
LIN-EV-SR-BL-109CB996345A0593-COMP-BASE-001-BASE-0,SR-BL-109CB996345A0593-COMP-BASE-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.540221
LIN-EV-SR-BL-109CB996345A0593-COMP-BASE-001-REC-1,SR-BL-109CB996345A0593-COMP-BASE-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ED-20261227,,Contributed To,2026-07-28T14:59:00.540228
LIN-EV-SR-BL-109CB996345A0593-COMP-BASE-001-RECID-2,SR-BL-109CB996345A0593-COMP-BASE-001,Recommendation,REC-CASE-DEPT-ED-20261227-OPT1,,Approved By,2026-07-28T14:59:00.540233
LIN-EV-SR-BL-109CB996345A0593-COMP-BASE-001-COMP-3,SR-BL-109CB996345A0593-COMP-BASE-001,Comparator Config,COMP-BASE-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.540238
LIN-EV-SR-BL-109CB996345A0593-COMP-BASE-001-PKG-4,SR-BL-109CB996345A0593-COMP-BASE-001,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.540242
LIN-EV-SR-BL-109CB996345A0593-COMP-BASE-001-EP-5,SR-BL-109CB996345A0593-COMP-BASE-001,Episode,EP-HOSP-001-DEPT-ED-kpi_001-20261227,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.540246
LIN-EV-SR-BL-109CB996345A0593-COMP-CONS-001-BASE-0,SR-BL-109CB996345A0593-COMP-CONS-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.546649
LIN-EV-SR-BL-109CB996345A0593-COMP-CONS-001-REC-1,SR-BL-109CB996345A0593-COMP-CONS-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ED-20261227,,Contributed To,2026-07-28T14:59:00.546656
LIN-EV-SR-BL-109CB996345A0593-COMP-CONS-001-RECID-2,SR-BL-109CB996345A0593-COMP-CONS-001,Recommendation,REC-CASE-DEPT-ED-20261227-OPT1,,Approved By,2026-07-28T14:59:00.546662
LIN-EV-SR-BL-109CB996345A0593-COMP-CONS-001-COMP-3,SR-BL-109CB996345A0593-COMP-CONS-001,Comparator Config,COMP-CONS-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.546667
LIN-EV-SR-BL-109CB996345A0593-COMP-CONS-001-PKG-4,SR-BL-109CB996345A0593-COMP-CONS-001,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.546671
LIN-EV-SR-BL-109CB996345A0593-COMP-CONS-001-EP-5,SR-BL-109CB996345A0593-COMP-CONS-001,Episode,EP-HOSP-001-DEPT-ED-kpi_001-20261227,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.546676
LIN-EV-SR-BL-109CB996345A0593-COMP-EXP-001-BASE-0,SR-BL-109CB996345A0593-COMP-EXP-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.551717
LIN-EV-SR-BL-109CB996345A0593-COMP-EXP-001-REC-1,SR-BL-109CB996345A0593-COMP-EXP-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ED-20261227,,Contributed To,2026-07-28T14:59:00.551724
LIN-EV-SR-BL-109CB996345A0593-COMP-EXP-001-RECID-2,SR-BL-109CB996345A0593-COMP-EXP-001,Recommendation,REC-CASE-DEPT-ED-20261227-OPT1,,Approved By,2026-07-28T14:59:00.551729
LIN-EV-SR-BL-109CB996345A0593-COMP-EXP-001-COMP-3,SR-BL-109CB996345A0593-COMP-EXP-001,Comparator Config,COMP-EXP-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.551734
LIN-EV-SR-BL-109CB996345A0593-COMP-EXP-001-PKG-4,SR-BL-109CB996345A0593-COMP-EXP-001,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.551739
LIN-EV-SR-BL-109CB996345A0593-COMP-EXP-001-EP-5,SR-BL-109CB996345A0593-COMP-EXP-001,Episode,EP-HOSP-001-DEPT-ED-kpi_001-20261227,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.551743
LIN-EV-SR-BL-109CB996345A0593-COMP-HIGH-001-BASE-0,SR-BL-109CB996345A0593-COMP-HIGH-001,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.556697
LIN-EV-SR-BL-109CB996345A0593-COMP-HIGH-001-REC-1,SR-BL-109CB996345A0593-COMP-HIGH-001,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ED-20261227,,Contributed To,2026-07-28T14:59:00.556704
LIN-EV-SR-BL-109CB996345A0593-COMP-HIGH-001-RECID-2,SR-BL-109CB996345A0593-COMP-HIGH-001,Recommendation,REC-CASE-DEPT-ED-20261227-OPT1,,Approved By,2026-07-28T14:59:00.556709
LIN-EV-SR-BL-109CB996345A0593-COMP-HIGH-001-COMP-3,SR-BL-109CB996345A0593-COMP-HIGH-001,Comparator Config,COMP-HIGH-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.556714
LIN-EV-SR-BL-109CB996345A0593-COMP-HIGH-001-PKG-4,SR-BL-109CB996345A0593-COMP-HIGH-001,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.556719
LIN-EV-SR-BL-109CB996345A0593-COMP-HIGH-001-EP-5,SR-BL-109CB996345A0593-COMP-HIGH-001,Episode,EP-HOSP-001-DEPT-ED-kpi_001-20261227,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.556724
LIN-EV-SR-BL-640531690BF49FC3-COMP-BASE-002-BASE-0,SR-BL-640531690BF49FC3-COMP-BASE-002,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.568300
LIN-EV-SR-BL-640531690BF49FC3-COMP-BASE-002-REC-1,SR-BL-640531690BF49FC3-COMP-BASE-002,Analytical Record,AKPI-kpi_002-HOSP-001-DEPT-ED-20260106,,Contributed To,2026-07-28T14:59:00.568308
LIN-EV-SR-BL-640531690BF49FC3-COMP-BASE-002-RECID-2,SR-BL-640531690BF49FC3-COMP-BASE-002,Recommendation,REC-CASE-DEPT-ED-20260106-OPT1,,Approved By,2026-07-28T14:59:00.568313
LIN-EV-SR-BL-640531690BF49FC3-COMP-BASE-002-RECID-3,SR-BL-640531690BF49FC3-COMP-BASE-002,Recommendation,REC-CASE-DEPT-ED-20260106-OPT2,,Approved By,2026-07-28T14:59:00.568319
LIN-EV-SR-BL-640531690BF49FC3-COMP-BASE-002-COMP-4,SR-BL-640531690BF49FC3-COMP-BASE-002,Comparator Config,COMP-BASE-002,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.568324
LIN-EV-SR-BL-640531690BF49FC3-COMP-BASE-002-PKG-5,SR-BL-640531690BF49FC3-COMP-BASE-002,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.568329
LIN-EV-SR-BL-640531690BF49FC3-COMP-BASE-002-EP-6,SR-BL-640531690BF49FC3-COMP-BASE-002,Episode,EP-HOSP-001-DEPT-ED-kpi_002-20260106,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.568333
LIN-EV-SR-BL-640531690BF49FC3-COMP-CONS-002-BASE-0,SR-BL-640531690BF49FC3-COMP-CONS-002,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.573520
LIN-EV-SR-BL-640531690BF49FC3-COMP-CONS-002-REC-1,SR-BL-640531690BF49FC3-COMP-CONS-002,Analytical Record,AKPI-kpi_002-HOSP-001-DEPT-ED-20260106,,Contributed To,2026-07-28T14:59:00.573528
LIN-EV-SR-BL-640531690BF49FC3-COMP-CONS-002-RECID-2,SR-BL-640531690BF49FC3-COMP-CONS-002,Recommendation,REC-CASE-DEPT-ED-20260106-OPT1,,Approved By,2026-07-28T14:59:00.573533
LIN-EV-SR-BL-640531690BF49FC3-COMP-CONS-002-RECID-3,SR-BL-640531690BF49FC3-COMP-CONS-002,Recommendation,REC-CASE-DEPT-ED-20260106-OPT2,,Approved By,2026-07-28T14:59:00.573538
LIN-EV-SR-BL-640531690BF49FC3-COMP-CONS-002-COMP-4,SR-BL-640531690BF49FC3-COMP-CONS-002,Comparator Config,COMP-CONS-002,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.573543
LIN-EV-SR-BL-640531690BF49FC3-COMP-CONS-002-PKG-5,SR-BL-640531690BF49FC3-COMP-CONS-002,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.573547
LIN-EV-SR-BL-640531690BF49FC3-COMP-CONS-002-EP-6,SR-BL-640531690BF49FC3-COMP-CONS-002,Episode,EP-HOSP-001-DEPT-ED-kpi_002-20260106,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.573552
LIN-EV-SR-BL-640531690BF49FC3-COMP-EXP-002-BASE-0,SR-BL-640531690BF49FC3-COMP-EXP-002,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.579931
LIN-EV-SR-BL-640531690BF49FC3-COMP-EXP-002-REC-1,SR-BL-640531690BF49FC3-COMP-EXP-002,Analytical Record,AKPI-kpi_002-HOSP-001-DEPT-ED-20260106,,Contributed To,2026-07-28T14:59:00.579938
LIN-EV-SR-BL-640531690BF49FC3-COMP-EXP-002-RECID-2,SR-BL-640531690BF49FC3-COMP-EXP-002,Recommendation,REC-CASE-DEPT-ED-20260106-OPT1,,Approved By,2026-07-28T14:59:00.579944
LIN-EV-SR-BL-640531690BF49FC3-COMP-EXP-002-RECID-3,SR-BL-640531690BF49FC3-COMP-EXP-002,Recommendation,REC-CASE-DEPT-ED-20260106-OPT2,,Approved By,2026-07-28T14:59:00.579949
LIN-EV-SR-BL-640531690BF49FC3-COMP-EXP-002-COMP-4,SR-BL-640531690BF49FC3-COMP-EXP-002,Comparator Config,COMP-EXP-002,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.579953
LIN-EV-SR-BL-640531690BF49FC3-COMP-EXP-002-PKG-5,SR-BL-640531690BF49FC3-COMP-EXP-002,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.579958
LIN-EV-SR-BL-640531690BF49FC3-COMP-EXP-002-EP-6,SR-BL-640531690BF49FC3-COMP-EXP-002,Episode,EP-HOSP-001-DEPT-ED-kpi_002-20260106,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.579962
LIN-EV-SR-BL-640531690BF49FC3-COMP-HIGH-002-BASE-0,SR-BL-640531690BF49FC3-COMP-HIGH-002,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.584853
LIN-EV-SR-BL-640531690BF49FC3-COMP-HIGH-002-REC-1,SR-BL-640531690BF49FC3-COMP-HIGH-002,Analytical Record,AKPI-kpi_002-HOSP-001-DEPT-ED-20260106,,Contributed To,2026-07-28T14:59:00.584861
LIN-EV-SR-BL-640531690BF49FC3-COMP-HIGH-002-RECID-2,SR-BL-640531690BF49FC3-COMP-HIGH-002,Recommendation,REC-CASE-DEPT-ED-20260106-OPT1,,Approved By,2026-07-28T14:59:00.584866
LIN-EV-SR-BL-640531690BF49FC3-COMP-HIGH-002-RECID-3,SR-BL-640531690BF49FC3-COMP-HIGH-002,Recommendation,REC-CASE-DEPT-ED-20260106-OPT2,,Approved By,2026-07-28T14:59:00.584871
LIN-EV-SR-BL-640531690BF49FC3-COMP-HIGH-002-COMP-4,SR-BL-640531690BF49FC3-COMP-HIGH-002,Comparator Config,COMP-HIGH-002,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.584875
LIN-EV-SR-BL-640531690BF49FC3-COMP-HIGH-002-PKG-5,SR-BL-640531690BF49FC3-COMP-HIGH-002,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.584880
LIN-EV-SR-BL-640531690BF49FC3-COMP-HIGH-002-EP-6,SR-BL-640531690BF49FC3-COMP-HIGH-002,Episode,EP-HOSP-001-DEPT-ED-kpi_002-20260106,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.584885
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-BASE-002-BASE-0,SR-BL-062B8B568A7B6C5F-COMP-BASE-002,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.595197
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-BASE-002-REC-1,SR-BL-062B8B568A7B6C5F-COMP-BASE-002,Analytical Record,AKPI-kpi_002-HOSP-001-DEPT-ED-20260207,,Contributed To,2026-07-28T14:59:00.595206
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-BASE-002-RECID-2,SR-BL-062B8B568A7B6C5F-COMP-BASE-002,Recommendation,REC-CASE-DEPT-ED-20260207-OPT1,,Approved By,2026-07-28T14:59:00.595212
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-BASE-002-RECID-3,SR-BL-062B8B568A7B6C5F-COMP-BASE-002,Recommendation,REC-CASE-DEPT-ED-20260207-OPT2,,Approved By,2026-07-28T14:59:00.595218
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-BASE-002-COMP-4,SR-BL-062B8B568A7B6C5F-COMP-BASE-002,Comparator Config,COMP-BASE-002,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.595223
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-BASE-002-PKG-5,SR-BL-062B8B568A7B6C5F-COMP-BASE-002,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.595228
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-BASE-002-EP-6,SR-BL-062B8B568A7B6C5F-COMP-BASE-002,Episode,EP-HOSP-001-DEPT-ED-kpi_002-20260207,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.595234
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-CONS-002-BASE-0,SR-BL-062B8B568A7B6C5F-COMP-CONS-002,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.600679
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-CONS-002-REC-1,SR-BL-062B8B568A7B6C5F-COMP-CONS-002,Analytical Record,AKPI-kpi_002-HOSP-001-DEPT-ED-20260207,,Contributed To,2026-07-28T14:59:00.600687
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-CONS-002-RECID-2,SR-BL-062B8B568A7B6C5F-COMP-CONS-002,Recommendation,REC-CASE-DEPT-ED-20260207-OPT1,,Approved By,2026-07-28T14:59:00.600693
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-CONS-002-RECID-3,SR-BL-062B8B568A7B6C5F-COMP-CONS-002,Recommendation,REC-CASE-DEPT-ED-20260207-OPT2,,Approved By,2026-07-28T14:59:00.600697
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-CONS-002-COMP-4,SR-BL-062B8B568A7B6C5F-COMP-CONS-002,Comparator Config,COMP-CONS-002,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.600703
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-CONS-002-PKG-5,SR-BL-062B8B568A7B6C5F-COMP-CONS-002,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.600708
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-CONS-002-EP-6,SR-BL-062B8B568A7B6C5F-COMP-CONS-002,Episode,EP-HOSP-001-DEPT-ED-kpi_002-20260207,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.600712
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-EXP-002-BASE-0,SR-BL-062B8B568A7B6C5F-COMP-EXP-002,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.605777
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-EXP-002-REC-1,SR-BL-062B8B568A7B6C5F-COMP-EXP-002,Analytical Record,AKPI-kpi_002-HOSP-001-DEPT-ED-20260207,,Contributed To,2026-07-28T14:59:00.605784
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-EXP-002-RECID-2,SR-BL-062B8B568A7B6C5F-COMP-EXP-002,Recommendation,REC-CASE-DEPT-ED-20260207-OPT1,,Approved By,2026-07-28T14:59:00.605790
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-EXP-002-RECID-3,SR-BL-062B8B568A7B6C5F-COMP-EXP-002,Recommendation,REC-CASE-DEPT-ED-20260207-OPT2,,Approved By,2026-07-28T14:59:00.605795
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-EXP-002-COMP-4,SR-BL-062B8B568A7B6C5F-COMP-EXP-002,Comparator Config,COMP-EXP-002,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.605799
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-EXP-002-PKG-5,SR-BL-062B8B568A7B6C5F-COMP-EXP-002,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.605804
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-EXP-002-EP-6,SR-BL-062B8B568A7B6C5F-COMP-EXP-002,Episode,EP-HOSP-001-DEPT-ED-kpi_002-20260207,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.605809
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-HIGH-002-BASE-0,SR-BL-062B8B568A7B6C5F-COMP-HIGH-002,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.613364
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-HIGH-002-REC-1,SR-BL-062B8B568A7B6C5F-COMP-HIGH-002,Analytical Record,AKPI-kpi_002-HOSP-001-DEPT-ED-20260207,,Contributed To,2026-07-28T14:59:00.613372
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-HIGH-002-RECID-2,SR-BL-062B8B568A7B6C5F-COMP-HIGH-002,Recommendation,REC-CASE-DEPT-ED-20260207-OPT1,,Approved By,2026-07-28T14:59:00.613377
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-HIGH-002-RECID-3,SR-BL-062B8B568A7B6C5F-COMP-HIGH-002,Recommendation,REC-CASE-DEPT-ED-20260207-OPT2,,Approved By,2026-07-28T14:59:00.613382
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-HIGH-002-COMP-4,SR-BL-062B8B568A7B6C5F-COMP-HIGH-002,Comparator Config,COMP-HIGH-002,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:59:00.613386
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-HIGH-002-PKG-5,SR-BL-062B8B568A7B6C5F-COMP-HIGH-002,Package,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:59:00.613390
LIN-EV-SR-BL-062B8B568A7B6C5F-COMP-HIGH-002-EP-6,SR-BL-062B8B568A7B6C5F-COMP-HIGH-002,Episode,EP-HOSP-001-DEPT-ED-kpi_002-20260207,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:59:00.613395
LIN-EV-SR-BL-D77B91D98CAB4A91-COMP-BASE-002-BASE-0,SR-BL-D77B91D98CAB4A91-COMP-BASE-002,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:59:00.623204
LIN-EV-SR-BL-D77B91D98CAB4A91-COMP-BASE-002-REC-1,SR-BL-D77B91D98CAB4A91-COMP-BASE-002,Analytical Record,AKPI-kpi_002-HOSP-001-DEPT-ED-20260310,,Contributed To,2026-07-28T14:59:00.623215
LIN-EV-SR-BL-D77B91D98CAB4A91-COMP-BASE-002-RECID-2,SR-BL-D77B91D98CAB4A91-COMP-BASE-002,Recommendation,REC-CASE-DEPT-ED-20260310-OPT1,,Approved By,2026-07-28T14:59:00.623223
