interpretation_id,approval_package_id,scenario_template_id,episode_id,scenario_family,comparator_summary,primary_kpi_effect,supporting_kpi_effects,adverse_effects,displacement_risk,assumption_drivers,management_validation_required,sensitivity_classification,diminishing_return_classification,trade_off_band,management_readiness,interpretation_text
INT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%),Staffing coverage adjusted from 83.33% to 100.00%. Adjusted available staff: 20.0 (required: 18.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (11.1111111111111%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260201,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (14.285714285714292%); Expected: Increase (21.42857142857143%); Higher Intensity: Increase (21.42857142857143%),Staffing coverage adjusted from 78.57% to 100.00%. Adjusted available staff: 16.0 (required: 14.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (14.285714285714292%); Expected: Increase (21.42857142857143%); Higher Intensity: Increase (21.42857142857143%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260211,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (16.666666666666657%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%),Staffing coverage adjusted from 75.00% to 100.00%. Adjusted available staff: 14.0 (required: 12.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (16.666666666666657%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260303,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (12.5%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%),Staffing coverage adjusted from 75.00% to 100.00%. Adjusted available staff: 17.0 (required: 16.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (12.5%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260319,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (14.285714285714292%); Expected: Increase (21.42857142857143%); Higher Intensity: Increase (21.42857142857143%),Staffing coverage adjusted from 78.57% to 100.00%. Adjusted available staff: 16.0 (required: 14.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (14.285714285714292%); Expected: Increase (21.42857142857143%); Higher Intensity: Increase (21.42857142857143%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260402,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (22.222222222222214%); Expected: Increase (22.222222222222214%); Higher Intensity: Increase (22.222222222222214%),Staffing coverage adjusted from 77.78% to 100.00%. Adjusted available staff: 12.0 (required: 9.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (22.222222222222214%); Expected: Increase (22.222222222222214%); Higher Intensity: Increase (22.222222222222214%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260502,Staffing Coverage Adjustment,Baseline: Increase (0.8789656671012693%); Conservative: Increase (14.438287700999567%); Expected: Increase (21.21794871794873%); Higher Intensity: Increase (21.21794871794873%),Staffing coverage adjusted from 78.78% to 100.00%. Adjusted available staff: 16.8 (required: 14.8).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Stable with Magnitude Variation,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502 (SCEN-STAFF-001): Comparators show Baseline: Increase (0.8789656671012693%); Conservative: Increase (14.438287700999567%); Expected: Increase (21.21794871794873%); Higher Intensity: Increase (21.21794871794873%). Sensitivity: Stable with Magnitude Variation. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260509,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (11.764705882352942%); Expected: Increase (17.64705882352942%); Higher Intensity: Increase (17.64705882352942%),Staffing coverage adjusted from 82.35% to 100.00%. Adjusted available staff: 19.0 (required: 17.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (11.764705882352942%); Expected: Increase (17.64705882352942%); Higher Intensity: Increase (17.64705882352942%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260522,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (20.0%); Expected: Increase (30.0%); Higher Intensity: Increase (30.0%),Staffing coverage adjusted from 70.00% to 100.00%. Adjusted available staff: 12.0 (required: 10.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (20.0%); Expected: Increase (30.0%); Higher Intensity: Increase (30.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260531,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (14.285714285714278%); Expected: Increase (28.57142857142857%); Higher Intensity: Increase (28.57142857142857%),Staffing coverage adjusted from 71.43% to 100.00%. Adjusted available staff: 15.0 (required: 14.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (14.285714285714278%); Expected: Increase (28.57142857142857%); Higher Intensity: Increase (28.57142857142857%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260604,Staffing Coverage Adjustment,Baseline: Decrease (-0.39682539682539186%); Conservative: Increase (12.103174603174608%); Expected: Increase (24.603174603174608%); Higher Intensity: Increase (24.603174603174608%),Staffing coverage adjusted from 75.40% to 100.00%. Adjusted available staff: 17.0 (required: 16.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Direction Reversal,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604 (SCEN-STAFF-001): Comparators show Baseline: Decrease (-0.39682539682539186%); Conservative: Increase (12.103174603174608%); Expected: Increase (24.603174603174608%); Higher Intensity: Increase (24.603174603174608%). Sensitivity: Direction Reversal. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260624,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (14.285714285714292%); Expected: Increase (21.42857142857143%); Higher Intensity: Increase (21.42857142857143%),Staffing coverage adjusted from 78.57% to 100.00%. Adjusted available staff: 16.0 (required: 14.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (14.285714285714292%); Expected: Increase (21.42857142857143%); Higher Intensity: Increase (21.42857142857143%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260705,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (13.333333333333343%); Expected: Increase (26.66666666666667%); Higher Intensity: Increase (26.66666666666667%),Staffing coverage adjusted from 73.33% to 100.00%. Adjusted available staff: 16.0 (required: 15.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (13.333333333333343%); Expected: Increase (26.66666666666667%); Higher Intensity: Increase (26.66666666666667%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260713,Staffing Coverage Adjustment,Baseline: Increase (1.1044973544973544%); Conservative: Increase (15.919312169312178%); Expected: Increase (16.845238095238102%); Higher Intensity: Increase (16.845238095238102%),Staffing coverage adjusted from 83.15% to 100.00%. Adjusted available staff: 16.4 (required: 13.5).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Stable with Magnitude Variation,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713 (SCEN-STAFF-001): Comparators show Baseline: Increase (1.1044973544973544%); Conservative: Increase (15.919312169312178%); Expected: Increase (16.845238095238102%); Higher Intensity: Increase (16.845238095238102%). Sensitivity: Stable with Magnitude Variation. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260727,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (16.666666666666657%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%),Staffing coverage adjusted from 83.33% to 100.00%. Adjusted available staff: 15.0 (required: 12.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (16.666666666666657%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20260930,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (12.5%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%),Staffing coverage adjusted from 75.00% to 100.00%. Adjusted available staff: 17.0 (required: 16.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (12.5%); Expected: Increase (25.0%); Higher Intensity: Increase (25.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20261008,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (14.285714285714292%); Expected: Increase (21.42857142857143%); Higher Intensity: Increase (21.42857142857143%),Staffing coverage adjusted from 78.57% to 100.00%. Adjusted available staff: 16.0 (required: 14.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (14.285714285714292%); Expected: Increase (21.42857142857143%); Higher Intensity: Increase (21.42857142857143%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20261014,Staffing Coverage Adjustment,Baseline: Decrease (-0.3279756878828124%); Conservative: Increase (12.61320078270542%); Expected: Increase (15.554377253293652%); Higher Intensity: Increase (15.554377253293652%),Staffing coverage adjusted from 84.45% to 100.00%. Adjusted available staff: 18.0 (required: 15.5).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Direction Reversal,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014 (SCEN-STAFF-001): Comparators show Baseline: Decrease (-0.3279756878828124%); Conservative: Increase (12.61320078270542%); Expected: Increase (15.554377253293652%); Higher Intensity: Increase (15.554377253293652%). Sensitivity: Direction Reversal. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20261101,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (16.666666666666657%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%),Staffing coverage adjusted from 83.33% to 100.00%. Adjusted available staff: 15.0 (required: 12.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (16.666666666666657%); Expected: Increase (16.666666666666657%); Higher Intensity: Increase (16.666666666666657%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20261113,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (13.333333333333343%); Expected: Increase (26.66666666666667%); Higher Intensity: Increase (26.66666666666667%),Staffing coverage adjusted from 73.33% to 100.00%. Adjusted available staff: 16.0 (required: 15.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (13.333333333333343%); Expected: Increase (26.66666666666667%); Higher Intensity: Increase (26.66666666666667%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,SCEN-STAFF-001,EP-HOSP-001-DEPT-ED-kpi_001-20261227,Staffing Coverage Adjustment,Baseline: No Change (0.0%); Conservative: Increase (13.333333333333329%); Expected: Increase (20.0%); Higher Intensity: Increase (20.0%),Staffing coverage adjusted from 80.00% to 100.00%. Adjusted available staff: 17.0 (required: 15.0).,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Diminishing,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227 (SCEN-STAFF-001): Comparators show Baseline: No Change (0.0%); Conservative: Increase (13.333333333333329%); Expected: Increase (20.0%); Higher Intensity: Increase (20.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Diminishing. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,SCEN-ABS-001,EP-HOSP-001-DEPT-ED-kpi_002-20260106,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-10.0%); Expected: Decrease (-20.0%); Higher Intensity: Decrease (-34.99999999999999%),Absenteeism adjusted from 15.38% to 12.31%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 3.08%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-10.0%); Expected: Decrease (-20.0%); Higher Intensity: Decrease (-34.99999999999999%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,SCEN-ABS-001,EP-HOSP-001-DEPT-ED-kpi_002-20260207,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-10.0%); Expected: Decrease (-20.0%); Higher Intensity: Decrease (-35.0%),Absenteeism adjusted from 25.00% to 20.00%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 5.00%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-10.0%); Expected: Decrease (-20.0%); Higher Intensity: Decrease (-35.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,SCEN-ABS-001,EP-HOSP-001-DEPT-ED-kpi_002-20260310,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-10.0%); Expected: Decrease (-20.0%); Higher Intensity: Decrease (-35.0%),Absenteeism adjusted from 20.00% to 16.00%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 4.00%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-10.0%); Expected: Decrease (-20.0%); Higher Intensity: Decrease (-35.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,SCEN-ABS-001,EP-HOSP-001-DEPT-ED-kpi_002-20260421,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-10.0%); Expected: Decrease (-20.0%); Higher Intensity: Decrease (-35.0%),Absenteeism adjusted from 20.00% to 16.00%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 4.00%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-10.0%); Expected: Decrease (-20.0%); Higher Intensity: Decrease (-35.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,SCEN-ABS-001,EP-HOSP-001-DEPT-ED-kpi_002-20260425,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-10.000000000000004%); Expected: Decrease (-19.99999999999999%); Higher Intensity: Decrease (-34.99999999999999%),Absenteeism adjusted from 20.19% to 16.15%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 4.04%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-10.000000000000004%); Expected: Decrease (-19.99999999999999%); Higher Intensity: Decrease (-34.99999999999999%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
INT-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521-SCEN-ABS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,SCEN-ABS-001,EP-HOSP-001-DEPT-ED-kpi_002-20260521,Absenteeism Contingency,Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999998%); Expected: Decrease (-19.999999999999996%); Higher Intensity: Decrease (-35.0%),Absenteeism adjusted from 16.20% to 12.96%. Reduction: 20.0%. Replacement coverage: 50.0%. Residual exposure: 3.24%.,See supporting KPI impact records,See effect classification records,See displacement records,See assumption validation records,False,Sensitive to Assumption Intensity,Not Assessable,See trade-off profile records,Suitable for Management Comparison,Package PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521 (SCEN-ABS-001): Comparators show Baseline: No Change (0.0%); Conservative: Decrease (-9.999999999999998%); Expected: Decrease (-19.999999999999996%); Higher Intensity: Decrease (-35.0%). Sensitivity: Sensitive to Assumption Intensity. Diminishing returns: Not Assessable. Management validation required for assumption accuracy and operational feasibility.
