primary_impact_id,scenario_run_id,approval_package_id,episode_id,primary_kpi_id,baseline_primary_kpi_value,scenario_primary_kpi_value,absolute_change,percentage_change,direction_of_change,comparator_type,scenario_family,final_scenario_confidence,impact_classification,effect_direction,evidence_language
PI-SR-BL-4D5FEEBD0155BB4E-COMP-BASE-003,SR-BL-4D5FEEBD0155BB4E-COMP-BASE-003,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,kpi_004,55.169694412730514,55.169694412730514,0.0,0.0,No Change,Baseline,Patient-Flow and Waiting-Time Adjustment,Moderate,No Material Change,Neutral,analytical approximation
PI-SR-BL-4D5FEEBD0155BB4E-COMP-CONS-003,SR-BL-4D5FEEBD0155BB4E-COMP-CONS-003,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,kpi_004,55.169694412730514,58.644200377379136,3.474505964648621,6.297852474323062,Increase,Conservative,Patient-Flow and Waiting-Time Adjustment,Moderate,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-4D5FEEBD0155BB4E-COMP-EXP-003,SR-BL-4D5FEEBD0155BB4E-COMP-EXP-003,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,kpi_004,55.169694412730514,61.833047114527844,6.663352701797329,12.077922077922091,Increase,Expected,Patient-Flow and Waiting-Time Adjustment,Moderate,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-4D5FEEBD0155BB4E-COMP-HIGH-003,SR-BL-4D5FEEBD0155BB4E-COMP-HIGH-003,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,kpi_004,55.169694412730514,66.7487624186405,11.579068005909981,20.988095238095227,Increase,Higher Intensity,Patient-Flow and Waiting-Time Adjustment,Moderate,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-720D117C0393DF94-COMP-BASE-001,SR-BL-720D117C0393DF94-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,EP-HOSP-001-DEPT-ED-kpi_001-20260107,kpi_001,75.96153846153847,75.86206896551724,0.0,-0.09946949602122857,Decrease,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-720D117C0393DF94-COMP-CONS-001,SR-BL-720D117C0393DF94-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,EP-HOSP-001-DEPT-ED-kpi_001-20260107,kpi_001,75.96153846153847,89.65517241379311,2.0,13.693633952254643,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-720D117C0393DF94-COMP-EXP-001,SR-BL-720D117C0393DF94-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,EP-HOSP-001-DEPT-ED-kpi_001-20260107,kpi_001,75.96153846153847,100.0,5.0,24.038461538461533,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-720D117C0393DF94-COMP-HIGH-001,SR-BL-720D117C0393DF94-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,EP-HOSP-001-DEPT-ED-kpi_001-20260107,kpi_001,75.96153846153847,100.0,9.0,24.038461538461533,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-102023A8C50140A8-COMP-BASE-001,SR-BL-102023A8C50140A8-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,EP-HOSP-001-DEPT-ED-kpi_001-20260201,kpi_001,78.57142857142857,78.57142857142857,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-102023A8C50140A8-COMP-CONS-001,SR-BL-102023A8C50140A8-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,EP-HOSP-001-DEPT-ED-kpi_001-20260201,kpi_001,78.57142857142857,92.85714285714286,2.0,14.285714285714292,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-102023A8C50140A8-COMP-EXP-001,SR-BL-102023A8C50140A8-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,EP-HOSP-001-DEPT-ED-kpi_001-20260201,kpi_001,78.57142857142857,100.0,5.0,21.42857142857143,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-102023A8C50140A8-COMP-HIGH-001,SR-BL-102023A8C50140A8-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,EP-HOSP-001-DEPT-ED-kpi_001-20260201,kpi_001,78.57142857142857,100.0,9.0,21.42857142857143,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-1677D6803DE79D4D-COMP-BASE-001,SR-BL-1677D6803DE79D4D-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,EP-HOSP-001-DEPT-ED-kpi_001-20260211,kpi_001,75.0,75.0,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-1677D6803DE79D4D-COMP-CONS-001,SR-BL-1677D6803DE79D4D-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,EP-HOSP-001-DEPT-ED-kpi_001-20260211,kpi_001,75.0,91.66666666666666,2.0,16.666666666666657,Increase,Conservative,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-1677D6803DE79D4D-COMP-EXP-001,SR-BL-1677D6803DE79D4D-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,EP-HOSP-001-DEPT-ED-kpi_001-20260211,kpi_001,75.0,100.0,5.0,25.0,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-1677D6803DE79D4D-COMP-HIGH-001,SR-BL-1677D6803DE79D4D-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,EP-HOSP-001-DEPT-ED-kpi_001-20260211,kpi_001,75.0,100.0,9.0,25.0,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-15FDB31BC48E9013-COMP-BASE-001,SR-BL-15FDB31BC48E9013-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,EP-HOSP-001-DEPT-ED-kpi_001-20260303,kpi_001,75.0,75.0,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-15FDB31BC48E9013-COMP-CONS-001,SR-BL-15FDB31BC48E9013-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,EP-HOSP-001-DEPT-ED-kpi_001-20260303,kpi_001,75.0,87.5,2.0,12.5,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-15FDB31BC48E9013-COMP-EXP-001,SR-BL-15FDB31BC48E9013-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,EP-HOSP-001-DEPT-ED-kpi_001-20260303,kpi_001,75.0,100.0,5.0,25.0,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-15FDB31BC48E9013-COMP-HIGH-001,SR-BL-15FDB31BC48E9013-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,EP-HOSP-001-DEPT-ED-kpi_001-20260303,kpi_001,75.0,100.0,9.0,25.0,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-0158BC532C54A11F-COMP-BASE-001,SR-BL-0158BC532C54A11F-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,EP-HOSP-001-DEPT-ED-kpi_001-20260319,kpi_001,78.57142857142857,78.57142857142857,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-0158BC532C54A11F-COMP-CONS-001,SR-BL-0158BC532C54A11F-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,EP-HOSP-001-DEPT-ED-kpi_001-20260319,kpi_001,78.57142857142857,92.85714285714286,2.0,14.285714285714292,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-0158BC532C54A11F-COMP-EXP-001,SR-BL-0158BC532C54A11F-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,EP-HOSP-001-DEPT-ED-kpi_001-20260319,kpi_001,78.57142857142857,100.0,5.0,21.42857142857143,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-0158BC532C54A11F-COMP-HIGH-001,SR-BL-0158BC532C54A11F-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,EP-HOSP-001-DEPT-ED-kpi_001-20260319,kpi_001,78.57142857142857,100.0,9.0,21.42857142857143,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-85DC79D66DA80A48-COMP-BASE-001,SR-BL-85DC79D66DA80A48-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,EP-HOSP-001-DEPT-ED-kpi_001-20260402,kpi_001,77.77777777777779,77.77777777777779,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-85DC79D66DA80A48-COMP-CONS-001,SR-BL-85DC79D66DA80A48-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,EP-HOSP-001-DEPT-ED-kpi_001-20260402,kpi_001,77.77777777777779,100.0,2.0,22.222222222222214,Increase,Conservative,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-85DC79D66DA80A48-COMP-EXP-001,SR-BL-85DC79D66DA80A48-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,EP-HOSP-001-DEPT-ED-kpi_001-20260402,kpi_001,77.77777777777779,100.0,5.0,22.222222222222214,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-85DC79D66DA80A48-COMP-HIGH-001,SR-BL-85DC79D66DA80A48-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,EP-HOSP-001-DEPT-ED-kpi_001-20260402,kpi_001,77.77777777777779,100.0,9.0,22.222222222222214,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-C7DB6D840DFFFBEC-COMP-BASE-001,SR-BL-C7DB6D840DFFFBEC-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,EP-HOSP-001-DEPT-ED-kpi_001-20260502,kpi_001,78.78205128205127,79.66101694915254,0.0,0.8789656671012693,Increase,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-C7DB6D840DFFFBEC-COMP-CONS-001,SR-BL-C7DB6D840DFFFBEC-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,EP-HOSP-001-DEPT-ED-kpi_001-20260502,kpi_001,78.78205128205127,93.22033898305084,2.0,14.438287700999567,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-C7DB6D840DFFFBEC-COMP-EXP-001,SR-BL-C7DB6D840DFFFBEC-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,EP-HOSP-001-DEPT-ED-kpi_001-20260502,kpi_001,78.78205128205127,100.0,5.0,21.21794871794873,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-C7DB6D840DFFFBEC-COMP-HIGH-001,SR-BL-C7DB6D840DFFFBEC-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,EP-HOSP-001-DEPT-ED-kpi_001-20260502,kpi_001,78.78205128205127,100.0,9.0,21.21794871794873,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-13E22D760FAB321E-COMP-BASE-001,SR-BL-13E22D760FAB321E-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,EP-HOSP-001-DEPT-ED-kpi_001-20260509,kpi_001,82.35294117647058,82.35294117647058,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-13E22D760FAB321E-COMP-CONS-001,SR-BL-13E22D760FAB321E-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,EP-HOSP-001-DEPT-ED-kpi_001-20260509,kpi_001,82.35294117647058,94.11764705882352,2.0,11.764705882352942,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-13E22D760FAB321E-COMP-EXP-001,SR-BL-13E22D760FAB321E-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,EP-HOSP-001-DEPT-ED-kpi_001-20260509,kpi_001,82.35294117647058,100.0,5.0,17.64705882352942,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-13E22D760FAB321E-COMP-HIGH-001,SR-BL-13E22D760FAB321E-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,EP-HOSP-001-DEPT-ED-kpi_001-20260509,kpi_001,82.35294117647058,100.0,9.0,17.64705882352942,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-CDEE919CF33CA549-COMP-BASE-001,SR-BL-CDEE919CF33CA549-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,EP-HOSP-001-DEPT-ED-kpi_001-20260522,kpi_001,70.0,70.0,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-CDEE919CF33CA549-COMP-CONS-001,SR-BL-CDEE919CF33CA549-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,EP-HOSP-001-DEPT-ED-kpi_001-20260522,kpi_001,70.0,90.0,2.0,20.0,Increase,Conservative,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-CDEE919CF33CA549-COMP-EXP-001,SR-BL-CDEE919CF33CA549-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,EP-HOSP-001-DEPT-ED-kpi_001-20260522,kpi_001,70.0,100.0,5.0,30.0,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-CDEE919CF33CA549-COMP-HIGH-001,SR-BL-CDEE919CF33CA549-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,EP-HOSP-001-DEPT-ED-kpi_001-20260522,kpi_001,70.0,100.0,9.0,30.0,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-BC800799FD590418-COMP-BASE-001,SR-BL-BC800799FD590418-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,EP-HOSP-001-DEPT-ED-kpi_001-20260531,kpi_001,71.42857142857143,71.42857142857143,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-BC800799FD590418-COMP-CONS-001,SR-BL-BC800799FD590418-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,EP-HOSP-001-DEPT-ED-kpi_001-20260531,kpi_001,71.42857142857143,85.71428571428571,2.0,14.285714285714278,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-BC800799FD590418-COMP-EXP-001,SR-BL-BC800799FD590418-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,EP-HOSP-001-DEPT-ED-kpi_001-20260531,kpi_001,71.42857142857143,100.0,5.0,28.57142857142857,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-BC800799FD590418-COMP-HIGH-001,SR-BL-BC800799FD590418-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,EP-HOSP-001-DEPT-ED-kpi_001-20260531,kpi_001,71.42857142857143,100.0,9.0,28.57142857142857,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-87C8776C5C8CAC38-COMP-BASE-001,SR-BL-87C8776C5C8CAC38-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,EP-HOSP-001-DEPT-ED-kpi_001-20260604,kpi_001,75.39682539682539,75.0,0.0,-0.39682539682539186,Decrease,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-87C8776C5C8CAC38-COMP-CONS-001,SR-BL-87C8776C5C8CAC38-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,EP-HOSP-001-DEPT-ED-kpi_001-20260604,kpi_001,75.39682539682539,87.5,2.0,12.103174603174608,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-87C8776C5C8CAC38-COMP-EXP-001,SR-BL-87C8776C5C8CAC38-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,EP-HOSP-001-DEPT-ED-kpi_001-20260604,kpi_001,75.39682539682539,100.0,5.0,24.603174603174608,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-87C8776C5C8CAC38-COMP-HIGH-001,SR-BL-87C8776C5C8CAC38-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,EP-HOSP-001-DEPT-ED-kpi_001-20260604,kpi_001,75.39682539682539,100.0,9.0,24.603174603174608,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-3604EBCA4A970746-COMP-BASE-001,SR-BL-3604EBCA4A970746-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,EP-HOSP-001-DEPT-ED-kpi_001-20260624,kpi_001,78.57142857142857,78.57142857142857,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-3604EBCA4A970746-COMP-CONS-001,SR-BL-3604EBCA4A970746-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,EP-HOSP-001-DEPT-ED-kpi_001-20260624,kpi_001,78.57142857142857,92.85714285714286,2.0,14.285714285714292,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-3604EBCA4A970746-COMP-EXP-001,SR-BL-3604EBCA4A970746-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,EP-HOSP-001-DEPT-ED-kpi_001-20260624,kpi_001,78.57142857142857,100.0,5.0,21.42857142857143,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-3604EBCA4A970746-COMP-HIGH-001,SR-BL-3604EBCA4A970746-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,EP-HOSP-001-DEPT-ED-kpi_001-20260624,kpi_001,78.57142857142857,100.0,9.0,21.42857142857143,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-0D3165B7E88FFD7A-COMP-BASE-001,SR-BL-0D3165B7E88FFD7A-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,EP-HOSP-001-DEPT-ED-kpi_001-20260705,kpi_001,73.33333333333333,73.33333333333333,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-0D3165B7E88FFD7A-COMP-CONS-001,SR-BL-0D3165B7E88FFD7A-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,EP-HOSP-001-DEPT-ED-kpi_001-20260705,kpi_001,73.33333333333333,86.66666666666667,2.0,13.333333333333343,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-0D3165B7E88FFD7A-COMP-EXP-001,SR-BL-0D3165B7E88FFD7A-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,EP-HOSP-001-DEPT-ED-kpi_001-20260705,kpi_001,73.33333333333333,100.0,5.0,26.66666666666667,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-0D3165B7E88FFD7A-COMP-HIGH-001,SR-BL-0D3165B7E88FFD7A-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,EP-HOSP-001-DEPT-ED-kpi_001-20260705,kpi_001,73.33333333333333,100.0,9.0,26.66666666666667,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-C7ADF007DD874559-COMP-BASE-001,SR-BL-C7ADF007DD874559-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,EP-HOSP-001-DEPT-ED-kpi_001-20260713,kpi_001,83.1547619047619,84.25925925925925,0.0,1.1044973544973544,Increase,Baseline,Staffing Coverage Adjustment,Low,Small Directional Improvement,Improvement,scenario-based difference
PI-SR-BL-C7ADF007DD874559-COMP-CONS-001,SR-BL-C7ADF007DD874559-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,EP-HOSP-001-DEPT-ED-kpi_001-20260713,kpi_001,83.1547619047619,99.07407407407408,2.0,15.919312169312178,Increase,Conservative,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-C7ADF007DD874559-COMP-EXP-001,SR-BL-C7ADF007DD874559-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,EP-HOSP-001-DEPT-ED-kpi_001-20260713,kpi_001,83.1547619047619,100.0,5.0,16.845238095238102,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-C7ADF007DD874559-COMP-HIGH-001,SR-BL-C7ADF007DD874559-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,EP-HOSP-001-DEPT-ED-kpi_001-20260713,kpi_001,83.1547619047619,100.0,9.0,16.845238095238102,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-D66BBB26F7FCA9E8-COMP-BASE-001,SR-BL-D66BBB26F7FCA9E8-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,EP-HOSP-001-DEPT-ED-kpi_001-20260727,kpi_001,83.33333333333334,83.33333333333334,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-D66BBB26F7FCA9E8-COMP-CONS-001,SR-BL-D66BBB26F7FCA9E8-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,EP-HOSP-001-DEPT-ED-kpi_001-20260727,kpi_001,83.33333333333334,100.0,2.0,16.666666666666657,Increase,Conservative,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-D66BBB26F7FCA9E8-COMP-EXP-001,SR-BL-D66BBB26F7FCA9E8-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,EP-HOSP-001-DEPT-ED-kpi_001-20260727,kpi_001,83.33333333333334,100.0,5.0,16.666666666666657,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-D66BBB26F7FCA9E8-COMP-HIGH-001,SR-BL-D66BBB26F7FCA9E8-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,EP-HOSP-001-DEPT-ED-kpi_001-20260727,kpi_001,83.33333333333334,100.0,9.0,16.666666666666657,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-F9EDD8AD8C3D4FDF-COMP-BASE-001,SR-BL-F9EDD8AD8C3D4FDF-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,EP-HOSP-001-DEPT-ED-kpi_001-20260930,kpi_001,75.0,75.0,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
PI-SR-BL-F9EDD8AD8C3D4FDF-COMP-CONS-001,SR-BL-F9EDD8AD8C3D4FDF-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,EP-HOSP-001-DEPT-ED-kpi_001-20260930,kpi_001,75.0,87.5,2.0,12.5,Increase,Conservative,Staffing Coverage Adjustment,Low,Moderate Directional Improvement,Improvement,estimated operational change
PI-SR-BL-F9EDD8AD8C3D4FDF-COMP-EXP-001,SR-BL-F9EDD8AD8C3D4FDF-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,EP-HOSP-001-DEPT-ED-kpi_001-20260930,kpi_001,75.0,100.0,5.0,25.0,Increase,Expected,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-F9EDD8AD8C3D4FDF-COMP-HIGH-001,SR-BL-F9EDD8AD8C3D4FDF-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,EP-HOSP-001-DEPT-ED-kpi_001-20260930,kpi_001,75.0,100.0,9.0,25.0,Increase,Higher Intensity,Staffing Coverage Adjustment,Low,Strong Directional Improvement,Improvement,estimated directional improvement
PI-SR-BL-8A83D7DA100E5D02-COMP-BASE-001,SR-BL-8A83D7DA100E5D02-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,EP-HOSP-001-DEPT-ED-kpi_001-20261008,kpi_001,78.57142857142857,78.57142857142857,0.0,0.0,No Change,Baseline,Staffing Coverage Adjustment,Low,No Material Change,Neutral,analytical approximation
