relationship_record_id,relationship_id,hospital_id,department_id,analysis_period_start,analysis_period_end,source_kpi_id,source_kpi_name,target_kpi_id,target_kpi_name,paired_observation_count,adversity_correlation,adversity_relationship_direction,adversity_relationship_strength,engine_run_id,processed_at,confidence_level
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,365,0.2014,Positive,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,333,0.1045,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,303,0.0486,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,333,0.2436,Positive,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,303,0.2619,Positive,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-OPC,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,303,0.0667,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,365,0.6883,Positive,Strong,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,297,0.0896,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,297,0.1596,None Detected,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-PEX,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,365,0.6968,Positive,Strong,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,365,0.0957,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,298,-0.0421,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,365,0.1107,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,298,-0.0185,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,298,0.0883,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-SURG,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,2920,0.6899,Positive,Strong,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,1095,0.0843,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,1095,0.1578,None Detected,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,984,0.0425,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,2383,0.0469,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,1095,0.1034,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,1095,0.209,Positive,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,984,0.0268,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,2383,0.0547,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-ALL-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-ALL-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,874,0.086,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,984,0.1709,None Detected,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,905,0.2408,Positive,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-ALL-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,ALL,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,905,0.035,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
