financial_input_requirement_id,approval_package_id,management_scenario_package_id,scenario_run_id,scenario_family,intervention_type,required_cost_input,financial_driver,cost_unit,required_period,one_time_or_recurring,direct_or_indirect,expected_input_owner,potential_source,actual_input_available,financial_input_status,missing_input_flag,missing_input_flag,stakeholder_validation_required,governance_warning,matched_input_id
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,SR-BL-277EBDFF9E5DE512-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,SR-BL-277EBDFF9E5DE512-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,SR-BL-0F8F7C9EE711C4F4-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,SR-BL-0F8F7C9EE711C4F4-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,SR-BL-D82D03A02C1E510E-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,SR-BL-D82D03A02C1E510E-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,SR-BL-2AE42776F9AA2C7D-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,SR-BL-2AE42776F9AA2C7D-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,SR-BL-24C7187D9091688F-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,SR-BL-24C7187D9091688F-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,SR-BL-294CD3C94DA05CCF-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,SR-BL-294CD3C94DA05CCF-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,SR-BL-811CC10E28CE7105-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,SR-BL-811CC10E28CE7105-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,SR-BL-C08CF67492F5A2D8-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,SR-BL-C08CF67492F5A2D8-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,SR-BL-DBA45C7ECC024F2A-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,SR-BL-DBA45C7ECC024F2A-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,SR-BL-E071EA94B2CE7EF4-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,SR-BL-E071EA94B2CE7EF4-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,SR-BL-22F79AE722DD9BCE-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,SR-BL-22F79AE722DD9BCE-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,SR-BL-83DE60C89519B089-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,SR-BL-83DE60C89519B089-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,SR-BL-D8BF9220CA7444BB-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,SR-BL-D8BF9220CA7444BB-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,SR-BL-2577E4AF31EE74E2-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,SR-BL-2577E4AF31EE74E2-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,SR-BL-4AE8A17F60DA4DB1-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,SR-BL-4AE8A17F60DA4DB1-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,SR-BL-B59C32BF756AC3DE-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,SR-BL-B59C32BF756AC3DE-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,SR-BL-6EBF25096E740FA0-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,SR-BL-6EBF25096E740FA0-COMP-BASE-002,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,SR-BL-3E1C7D26C1A5391F-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,SR-BL-3E1C7D26C1A5391F-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,SR-BL-70C290549E361197-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,SR-BL-70C290549E361197-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,SR-BL-BC5B6E80B089ECEF-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,SR-BL-BC5B6E80B089ECEF-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,SR-BL-6564610C0FF8940F-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,SR-BL-6564610C0FF8940F-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,SR-BL-CEDB52C10CC5423A-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,SR-BL-CEDB52C10CC5423A-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,SR-BL-4D5FEEBD0155BB4E-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,SR-BL-4D5FEEBD0155BB4E-COMP-BASE-003,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,SR-BL-720D117C0393DF94-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,SR-BL-720D117C0393DF94-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,SR-BL-102023A8C50140A8-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,SR-BL-102023A8C50140A8-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,SR-BL-1677D6803DE79D4D-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,SR-BL-1677D6803DE79D4D-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,SR-BL-15FDB31BC48E9013-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,SR-BL-15FDB31BC48E9013-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,SR-BL-0158BC532C54A11F-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,SR-BL-0158BC532C54A11F-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,recurring_monitoring_cost,recurring_monitoring_cost,currency per month,per intervention period,Recurring,Indirect,Operations,Budget forecast,False,Missing,True,True,True,Missing input — value not available,
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,MGMT-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,SR-BL-C7DB6D840DFFFBEC-COMP-BASE-001,No-Action or Baseline Comparator,No-Action or Baseline Comparator,implementation_cost,implementation_cost,currency,per intervention period,One-time,Direct,Project Office,Project plan,False,Missing,True,True,True,Missing input — value not available,
