scenario_run_id,approval_package_id,episode_id,comparator_id,comparator_type,scenario_template_id,baseline_id,primary_kpi_id,assumption_version,assumption_set_id,baseline_source,evidence_id,lineage_id,overall_validation_status,governance_warning,closure_status
SR-BL-070A0C28E0BA5503-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,COMP-EXP-001,Expected,SCEN-STAFF-001,BL-070A0C28E0BA5503,kpi_001,,staffing-default,BL-070A0C28E0BA5503,EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-BASE-0;EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-REC-1;EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-RECID-2;EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-COMP-3;EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-PKG-4;EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-EP-5,LIN-EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-REC-1;LIN-EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-RECID-2;LIN-EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-COMP-3;LIN-EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-PKG-4;LIN-EV-SR-BL-070A0C28E0BA5503-COMP-EXP-001-EP-5,,Staffing coverage capped at 100.0%.,Closed — Requires Revision
SR-BL-070A0C28E0BA5503-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,COMP-HIGH-001,Higher Intensity,SCEN-STAFF-001,BL-070A0C28E0BA5503,kpi_001,,staffing-default,BL-070A0C28E0BA5503,EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-BASE-0;EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-REC-1;EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-RECID-2;EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-COMP-3;EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-PKG-4;EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-EP-5,LIN-EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-RECID-2;LIN-EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-COMP-3;LIN-EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-PKG-4;LIN-EV-SR-BL-070A0C28E0BA5503-COMP-HIGH-001-EP-5,,Staffing coverage capped at 100.0%.,Closed — Requires Revision
SR-BL-CF05842D79536398-,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,-BLOCKED,Baseline,,BL-CF05842D79536398,kpi_001,,,BL-CF05842D79536398,,,,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-E35A041294E9DE0E-,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,-BLOCKED,Baseline,,BL-E35A041294E9DE0E,kpi_001,,,BL-E35A041294E9DE0E,,,,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-93DB6F1285221796-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,COMP-BASE-001,Baseline,SCEN-STAFF-001,BL-93DB6F1285221796,kpi_001,,staffing-default,BL-93DB6F1285221796,EV-SR-BL-93DB6F1285221796-COMP-BASE-001-BASE-0;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-1;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-2;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-3;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-4;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-5;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-6;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-7;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-8;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-9;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-10;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-11;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-12;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-13;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-14;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-15;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-16;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-17;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-COMP-18;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-PKG-19;EV-SR-BL-93DB6F1285221796-COMP-BASE-001-EP-20,LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-1;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-2;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-3;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-4;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-5;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-6;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-7;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-8;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-9;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-10;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-REC-11;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-12;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-13;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-14;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-15;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-16;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-RECID-17;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-COMP-18;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-PKG-19;LIN-EV-SR-BL-93DB6F1285221796-COMP-BASE-001-EP-20,,,Closed — Requires Revision
SR-BL-93DB6F1285221796-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,COMP-CONS-001,Conservative,SCEN-STAFF-001,BL-93DB6F1285221796,kpi_001,,staffing-default,BL-93DB6F1285221796,EV-SR-BL-93DB6F1285221796-COMP-CONS-001-BASE-0;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-1;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-2;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-3;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-4;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-5;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-6;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-7;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-8;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-9;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-10;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-11;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-12;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-13;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-14;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-15;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-16;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-17;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-COMP-18;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-PKG-19;EV-SR-BL-93DB6F1285221796-COMP-CONS-001-EP-20,LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-1;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-2;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-3;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-4;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-5;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-6;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-7;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-8;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-9;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-10;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-REC-11;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-12;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-13;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-14;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-15;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-16;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-RECID-17;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-COMP-18;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-PKG-19;LIN-EV-SR-BL-93DB6F1285221796-COMP-CONS-001-EP-20,,,Closed — Requires Revision
SR-BL-93DB6F1285221796-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,COMP-EXP-001,Expected,SCEN-STAFF-001,BL-93DB6F1285221796,kpi_001,,staffing-default,BL-93DB6F1285221796,EV-SR-BL-93DB6F1285221796-COMP-EXP-001-BASE-0;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-1;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-2;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-3;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-4;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-5;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-6;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-7;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-8;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-9;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-10;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-11;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-12;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-13;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-14;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-15;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-16;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-17;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-COMP-18;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-PKG-19;EV-SR-BL-93DB6F1285221796-COMP-EXP-001-EP-20,LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-1;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-2;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-3;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-4;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-5;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-6;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-7;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-8;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-9;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-10;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-REC-11;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-12;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-13;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-14;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-15;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-16;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-RECID-17;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-COMP-18;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-PKG-19;LIN-EV-SR-BL-93DB6F1285221796-COMP-EXP-001-EP-20,,Staffing coverage capped at 100.0%.,Closed — Requires Revision
SR-BL-93DB6F1285221796-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,COMP-HIGH-001,Higher Intensity,SCEN-STAFF-001,BL-93DB6F1285221796,kpi_001,,staffing-default,BL-93DB6F1285221796,EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-BASE-0;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-1;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-2;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-3;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-4;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-5;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-6;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-7;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-8;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-9;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-10;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-11;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-12;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-13;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-14;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-15;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-16;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-17;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-COMP-18;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-PKG-19;EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-EP-20,LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-2;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-3;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-4;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-5;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-6;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-7;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-8;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-9;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-10;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-REC-11;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-12;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-13;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-14;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-15;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-16;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-RECID-17;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-COMP-18;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-PKG-19;LIN-EV-SR-BL-93DB6F1285221796-COMP-HIGH-001-EP-20,,Staffing coverage capped at 100.0%.,Closed — Requires Revision
SR-BL-EA51A04E691524B9-,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,-BLOCKED,Baseline,,BL-EA51A04E691524B9,kpi_001,,,BL-EA51A04E691524B9,,,,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-50C8DDBEDD838DE1-,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,-BLOCKED,Baseline,,BL-50C8DDBEDD838DE1,kpi_001,,,BL-50C8DDBEDD838DE1,,,,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-047D3EEF2C3B17A9-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,COMP-BASE-001,Baseline,SCEN-STAFF-001,BL-047D3EEF2C3B17A9,kpi_001,,staffing-default,BL-047D3EEF2C3B17A9,EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-BASE-0;EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-REC-1;EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-RECID-2;EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-COMP-3;EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-PKG-4;EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-EP-5,LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-REC-1;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-RECID-2;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-COMP-3;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-PKG-4;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-BASE-001-EP-5,,,Closed — Requires Revision
SR-BL-047D3EEF2C3B17A9-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,COMP-CONS-001,Conservative,SCEN-STAFF-001,BL-047D3EEF2C3B17A9,kpi_001,,staffing-default,BL-047D3EEF2C3B17A9,EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-BASE-0;EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-REC-1;EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-RECID-2;EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-COMP-3;EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-PKG-4;EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-EP-5,LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-REC-1;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-RECID-2;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-COMP-3;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-PKG-4;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-CONS-001-EP-5,,,Closed — Requires Revision
SR-BL-047D3EEF2C3B17A9-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,COMP-EXP-001,Expected,SCEN-STAFF-001,BL-047D3EEF2C3B17A9,kpi_001,,staffing-default,BL-047D3EEF2C3B17A9,EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-BASE-0;EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-REC-1;EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-RECID-2;EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-COMP-3;EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-PKG-4;EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-EP-5,LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-REC-1;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-RECID-2;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-COMP-3;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-PKG-4;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-EXP-001-EP-5,,Staffing coverage capped at 100.0%.,Closed — Requires Revision
SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,COMP-HIGH-001,Higher Intensity,SCEN-STAFF-001,BL-047D3EEF2C3B17A9,kpi_001,,staffing-default,BL-047D3EEF2C3B17A9,EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-BASE-0;EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-REC-1;EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-RECID-2;EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-COMP-3;EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-PKG-4;EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-EP-5,LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-RECID-2;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-COMP-3;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-PKG-4;LIN-EV-SR-BL-047D3EEF2C3B17A9-COMP-HIGH-001-EP-5,,Staffing coverage capped at 100.0%.,Closed — Requires Revision
SR-BL-7303B3D158B0453B-,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,-BLOCKED,Baseline,,BL-7303B3D158B0453B,kpi_001,,,BL-7303B3D158B0453B,,,,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-773E477B6CEF5092-,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,-BLOCKED,Baseline,,BL-773E477B6CEF5092,kpi_001,,,BL-773E477B6CEF5092,,,,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-F7B5D619087F6EBD-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,COMP-BASE-001,Baseline,SCEN-STAFF-001,BL-F7B5D619087F6EBD,kpi_001,,staffing-default,BL-F7B5D619087F6EBD,EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-BASE-0;EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-REC-1;EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-RECID-2;EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-COMP-3;EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-PKG-4;EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-EP-5,LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-REC-1;LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-RECID-2;LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-COMP-3;LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-PKG-4;LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-BASE-001-EP-5,,,Closed — Requires Revision
SR-BL-F7B5D619087F6EBD-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,COMP-CONS-001,Conservative,SCEN-STAFF-001,BL-F7B5D619087F6EBD,kpi_001,,staffing-default,BL-F7B5D619087F6EBD,EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-BASE-0;EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-REC-1;EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-RECID-2;EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-COMP-3;EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-PKG-4;EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-EP-5,LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-REC-1;LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-RECID-2;LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-COMP-3;LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-PKG-4;LIN-EV-SR-BL-F7B5D619087F6EBD-COMP-CONS-001-EP-5,,,Closed — Requires Revision
